date,store,item,sales
2013-01-24,3,1,12
2013-01-25,3,1,19
2013-01-26,3,1,14
2013-01-27,3,1,13
2013-01-28,3,1,5
2013-01-29,3,1,20
2013-01-30,3,1,16
2013-01-31,3,1,17
2013-02-01,3,1,21
2013-02-02,3,1,21
2013-02-03,3,1,18
2013-02-04,3,1,10
2013-02-05,3,1,17
2013-02-06,3,1,15
2013-02-07,3,1,10
2013-02-08,3,1,8
2013-02-09,3,1,20
2013-02-10,3,1,6
2013-02-11,3,1,13
2013-02-12,3,1,14
2013-02-13,3,1,12
2013-02-14,3,1,12
2013-02-15,3,1,14
2013-02-16,3,1,15
2013-02-17,3,1,20
2013-02-18,3,1,10
2013-02-19,3,1,4
2013-02-20,3,1,12
2013-02-21,3,1,19
2013-02-22,3,1,17
2013-02-23,3,1,20
2013-02-24,3,1,24
2013-02-25,3,1,17
2013-02-26,3,1,13
2013-02-27,3,1,17
2013-02-28,3,1,22
2013-01-01,4,1,10
2013-01-02,4,1,12
2013-01-03,4,1,8
2013-01-04,4,1,15
2013-01-05,4,1,19
2013-01-06,4,1,14
2013-01-07,4,1,12
2013-01-08,4,1,16
2013-01-09,4,1,18
2013-01-10,4,1,16
2013-01-11,4,1,14
2013-01-12,4,1,10
2013-01-13,4,1,21
2013-01-14,4,1,9
2013-01-15,4,1,7
2013-01-16,4,1,8
2013-01-17,4,1,10
2013-01-18,4,1,15
2013-01-19,4,1,16
2013-01-20,4,1,19
2013-01-21,4,1,8
2013-01-22,4,1,10
2013-01-23,4,1,8
2013-01-24,4,1,12
2013-01-25,4,1,10
2013-01-26,4,1,12
2013-01-27,4,1,15
2013-01-28,4,1,10
2013-01-29,4,1,12
2013-01-30,4,1,14
2013-01-31,4,1,8
2013-02-01,4,1,19
2013-02-02,4,1,17
2013-02-03,4,1,19
2013-02-04,4,1,17
2013-02-05,4,1,11
2013-02-06,4,1,18
2013-02-07,4,1,15
2013-02-08,4,1,18
2013-02-09,4,1,17
2013-02-10,4,1,16
2013-02-11,4,1,7
2013-02-12,4,1,13
2013-02-13,4,1,16
2013-02-14,4,1,13
2013-02-15,4,1,13
2013-02-16,4,1,13
2013-02-17,4,1,16
2013-02-18,4,1,16
2013-02-19,4,1,12
2013-02-20,4,1,9
2013-02-21,4,1,10
2013-02-22,4,1,11
2013-02-23,4,1,10
2013-02-24,4,1,8
2013-02-25,4,1,16
2013-02-26,4,1,18
2013-02-27,4,1,20
2013-02-28,4,1,16
2013-01-01,5,1,11
2013-01-02,5,1,9
2013-01-03,5,1,12
2013-01-04,5,1,8
2013-01-05,5,1,13
2013-01-06,5,1,15
2013-01-07,5,1,6
2013-01-08,5,1,11
2013-01-09,5,1,13
2013-01-10,5,1,9
2013-01-11,5,1,9
2013-01-12,5,1,8
2013-01-13,5,1,22
2013-01-14,5,1,8
2013-01-15,5,1,10
2013-01-16,5,1,9
2013-01-17,5,1,8
2013-01-18,5,1,9
2013-01-19,5,1,6
2013-01-20,5,1,6
2013-01-21,5,1,6
2013-01-22,5,1,8
2013-01-23,5,1,11
2013-01-24,5,1,8
2013-01-25,5,1,7
2013-01-26,5,1,7
2013-01-27,5,1,11
2013-01-28,5,1,8
2013-01-29,5,1,12
2013-01-30,5,1,8
2013-01-31,5,1,6
2013-02-01,5,1,6
2013-02-02,5,1,20
2013-02-03,5,1,13
2013-02-04,5,1,12
2013-02-05,5,1,10
2013-02-06,5,1,12
2013-02-07,5,1,13
2013-02-08,5,1,13
2013-02-09,5,1,12
2013-02-10,5,1,10
2013-02-11,5,1,10
2013-02-12,5,1,10
2013-02-13,5,1,14
2013-02-14,5,1,9
2013-02-15,5,1,9
2013-02-16,5,1,10
2013-02-17,5,1,10
2013-02-18,5,1,5
2013-02-19,5,1,4
2013-02-20,5,1,10
2013-02-21,5,1,4
2013-02-22,5,1,10
2013-02-23,5,1,11
2013-02-24,5,1,11
2013-02-25,5,1,8
2013-02-26,5,1,15
2013-02-27,5,1,7
2013-02-28,5,1,14
2013-01-01,6,1,20
2013-01-02,6,1,6
2013-01-03,6,1,11
2013-01-04,6,1,7
2013-01-05,6,1,12
2013-01-06,6,1,9
2013-01-07,6,1,11
2013-01-08,6,1,9
2013-01-09,6,1,13
2013-01-10,6,1,9
2013-01-11,6,1,11
2013-01-12,6,1,13
2013-01-13,6,1,12
2013-01-14,6,1,6
2013-01-15,6,1,11
2013-01-16,6,1,8
2013-01-17,6,1,6
2013-01-18,6,1,15
2013-01-19,6,1,9
2013-01-20,6,1,7
2013-01-21,6,1,7
2013-01-22,6,1,3
2013-01-23,6,1,6
2013-01-24,6,1,7
2013-01-25,6,1,9
2013-01-26,6,1,7
2013-01-27,6,1,11
2013-01-28,6,1,9
2013-01-29,6,1,6
2013-01-30,6,1,6
2013-01-31,6,1,11
2013-02-01,6,1,14
2013-02-02,6,1,8
2013-02-03,6,1,12
2013-02-04,6,1,7
2013-02-05,6,1,9
2013-02-06,6,1,7
2013-02-07,6,1,8
2013-02-08,6,1,14
2013-02-09,6,1,12
2013-02-10,6,1,12
2013-02-11,6,1,9
2013-02-12,6,1,6
2013-02-13,6,1,12
2013-02-14,6,1,16
2013-02-15,6,1,6
2013-02-16,6,1,10
2013-02-17,6,1,19
2013-02-18,6,1,2
2013-02-19,6,1,8
2013-02-20,6,1,10
2013-02-21,6,1,17
2013-02-22,6,1,14
2013-02-23,6,1,16
2013-02-24,6,1,20
2013-02-25,6,1,10
2013-02-26,6,1,6
2013-02-27,6,1,7
2013-02-28,6,1,15
2013-01-01,7,1,7
2013-01-02,7,1,4
2013-01-03,7,1,8
2013-01-04,7,1,7
2013-01-05,7,1,8
2013-01-06,7,1,10
2013-01-07,7,1,6
2013-01-08,7,1,6
2013-01-09,7,1,3
2013-01-10,7,1,7
2013-01-11,7,1,8
2013-01-12,7,1,9
2013-01-13,7,1,8
2013-01-14,7,1,7
2013-01-15,7,1,13
2013-01-16,7,1,8
2013-01-17,7,1,9
2013-01-18,7,1,5
2013-01-19,7,1,8
2013-01-20,7,1,13
2013-01-21,7,1,7
2013-01-22,7,1,4
2013-01-23,7,1,11
2013-01-24,7,1,8
2013-01-25,7,1,6
2013-01-26,7,1,15
2013-01-27,7,1,12
2013-01-28,7,1,12
2013-01-29,7,1,9
2013-01-30,7,1,8
2013-01-31,7,1,10
2013-02-01,7,1,12
2013-02-02,7,1,12
2013-02-03,7,1,13
2013-02-04,7,1,10
2013-02-05,7,1,10
2013-02-06,7,1,6
2013-02-07,7,1,11
2013-02-08,7,1,10
2013-02-09,7,1,14
2013-02-10,7,1,17
2013-02-11,7,1,3
2013-02-12,7,1,13
2013-02-13,7,1,8
2013-02-14,7,1,10
2013-02-15,7,1,5
2013-02-16,7,1,16
2013-02-17,7,1,16
2013-02-18,7,1,11
2013-02-19,7,1,11
2013-02-20,7,1,11
2013-02-21,7,1,11
2013-02-22,7,1,11
2013-02-23,7,1,13
2013-02-24,7,1,21
2013-02-25,7,1,7
2013-02-26,7,1,7
2013-02-27,7,1,7
2013-02-28,7,1,9
2013-01-01,8,1,16
2013-01-02,8,1,10
2013-01-03,8,1,12
2013-01-04,8,1,21
2013-01-05,8,1,15
2013-01-06,8,1,27
2013-01-07,8,1,9
2013-01-08,8,1,10
2013-01-09,8,1,11
2013-01-10,8,1,14
2013-01-11,8,1,14
2013-01-12,8,1,12
2013-01-13,8,1,16
2013-01-14,8,1,11
2013-01-15,8,1,15
2013-01-16,8,1,18
2013-01-17,8,1,14
2013-01-18,8,1,13
2013-01-19,8,1,13
2013-01-20,8,1,15
2013-01-21,8,1,10
2013-01-22,8,1,18
2013-01-23,8,1,18
2013-01-24,8,1,10
2013-01-25,8,1,8
2013-01-26,8,1,14
2013-01-27,8,1,22
2013-01-28,8,1,10
2013-01-29,8,1,15
2013-01-30,8,1,8
2013-01-31,8,1,12
2013-02-01,8,1,14
2013-02-02,8,1,20
2013-02-03,8,1,22
2013-02-04,8,1,16
2013-02-05,8,1,11
2013-02-06,8,1,10
2013-02-07,8,1,22
2013-02-08,8,1,15
2013-02-09,8,1,20
2013-02-10,8,1,20
2013-02-11,8,1,16
2013-02-12,8,1,18
2013-02-13,8,1,11
2013-02-14,8,1,13
2013-02-15,8,1,19
2013-02-16,8,1,17
2013-02-17,8,1,22
2013-02-18,8,1,11
2013-02-19,8,1,9
2013-02-20,8,1,15
2013-02-21,8,1,15
2013-02-22,8,1,19
2013-02-23,8,1,19
2013-02-24,8,1,22
2013-02-25,8,1,9
2013-02-26,8,1,18
2013-02-27,8,1,19
2013-02-28,8,1,16
2013-01-01,9,1,11
2013-01-02,9,1,9
2013-01-03,9,1,20
2013-01-04,9,1,22
2013-01-05,9,1,22
2013-01-06,9,1,11
2013-01-07,9,1,7
2013-01-08,9,1,13
2013-01-09,9,1,9
2013-01-10,9,1,5
2013-01-11,9,1,20
2013-01-12,9,1,11
2013-01-13,9,1,16
2013-01-14,9,1,6
2013-01-15,9,1,16
2013-01-16,9,1,20
2013-01-17,9,1,12
2013-01-18,9,1,10
2013-01-19,9,1,14
2013-01-20,9,1,17
2013-01-21,9,1,11
2013-01-22,9,1,15
2013-01-23,9,1,7
2013-01-24,9,1,11
2013-01-25,9,1,15
2013-01-26,9,1,16
2013-01-27,9,1,11
2013-01-28,9,1,19
2013-01-29,9,1,17
2013-01-30,9,1,12
2013-01-31,9,1,19
2013-02-01,9,1,14
2013-02-02,9,1,15
2013-02-03,9,1,27
2013-02-04,9,1,11
2013-02-05,9,1,18
2013-02-06,9,1,8
2013-02-07,9,1,13
2013-02-08,9,1,20
2013-02-09,9,1,13
2013-02-10,9,1,19
2013-02-11,9,1,13
2013-02-12,9,1,12
2013-02-13,9,1,12
2013-02-14,9,1,12
2013-02-15,9,1,15
2013-02-16,9,1,25
2013-02-17,9,1,18
2013-02-18,9,1,10
2013-02-19,9,1,8
2013-02-20,9,1,16
2013-02-21,9,1,19
2013-02-22,9,1,9
2013-02-23,9,1,18
2013-02-24,9,1,18
2013-02-25,9,1,5
2013-02-26,9,1,13
2013-02-27,9,1,16
2013-02-28,9,1,9
2013-01-01,10,1,14
2013-01-02,10,1,14
2013-01-03,10,1,16
2013-01-04,10,1,17
2013-01-05,10,1,12
2013-01-06,10,1,11
2013-01-07,10,1,12
2013-01-08,10,1,19
2013-01-09,10,1,10
2013-01-10,10,1,17
2013-01-11,10,1,20
2013-01-12,10,1,18
2013-01-13,10,1,21
2013-01-14,10,1,10
2013-01-15,10,1,13
2013-01-16,10,1,11
2013-01-17,10,1,15
2013-01-18,10,1,17
2013-01-19,10,1,18
2013-01-20,10,1,19
2013-01-21,10,1,10
2013-01-22,10,1,7
2013-01-23,10,1,20
2013-01-24,10,1,12
2013-01-25,10,1,21
2013-01-26,10,1,13
2013-01-27,10,1,12
2013-01-28,10,1,12
2013-01-29,10,1,14
2013-01-30,10,1,17
2013-01-31,10,1,5
2013-02-01,10,1,21
2013-02-02,10,1,11
2013-02-03,10,1,20
2013-02-04,10,1,11
2013-02-05,10,1,10
2013-02-06,10,1,15
2013-02-07,10,1,16
2013-02-08,10,1,8
2013-02-09,10,1,17
2013-02-10,10,1,19
2013-02-11,10,1,13
2013-02-12,10,1,16
2013-02-13,10,1,15
2013-02-14,10,1,14
2013-02-15,10,1,11
2013-02-16,10,1,16
2013-02-17,10,1,21
2013-02-18,10,1,19
2013-02-19,10,1,16
2013-02-20,10,1,18
2013-02-21,10,1,19
2013-02-22,10,1,18
2013-02-23,10,1,21
2013-02-24,10,1,30
2013-02-25,10,1,15
2013-02-26,10,1,17
2013-02-27,10,1,16
2013-02-28,10,1,26
2013-01-01,1,2,33
2013-01-02,1,2,43
2013-01-03,1,2,23
2013-01-04,1,2,18
2013-01-05,1,2,34
2013-01-06,1,2,38
2013-01-07,1,2,27
2013-01-08,1,2,28
2013-01-09,1,2,34
2013-01-10,1,2,27
2013-01-11,1,2,28
2013-01-12,1,2,39
2013-01-13,1,2,28
2013-01-14,1,2,30
2013-01-15,1,2,27
2013-01-16,1,2,19
2013-01-17,1,2,29
2013-01-18,1,2,29
2013-01-19,1,2,44
2013-01-20,1,2,34
2013-01-21,1,2,15
2013-01-22,1,2,29
2013-01-23,1,2,21
2013-01-24,1,2,33
2013-01-25,1,2,29
2013-01-26,1,2,33
2013-01-27,1,2,32
2013-01-28,1,2,16
2013-01-29,1,2,35
2013-01-30,1,2,29
2013-01-31,1,2,27
2013-02-01,1,2,30
2013-02-02,1,2,26
2013-02-03,1,2,39
2013-02-04,1,2,30
2013-02-05,1,2,34
2013-02-06,1,2,22
2013-02-07,1,2,42
2013-02-08,1,2,27
2013-02-09,1,2,28
2013-02-10,1,2,34
2013-02-11,1,2,25
2013-02-12,1,2,39
2013-02-13,1,2,17
2013-02-14,1,2,35
2013-02-15,1,2,34
2013-02-16,1,2,39
2013-02-17,1,2,46
2013-02-18,1,2,31
2013-02-19,1,2,30
2013-02-20,1,2,24
2013-02-21,1,2,31
2013-02-22,1,2,40
2013-02-23,1,2,37
2013-02-24,1,2,33
2013-02-25,1,2,13
2013-02-26,1,2,33
2013-02-27,1,2,19
2013-02-28,1,2,35
2013-01-01,2,2,41
2013-01-02,2,2,33
2013-01-03,2,2,46
2013-01-04,2,2,50
2013-01-05,2,2,44
2013-01-06,2,2,57
2013-01-07,2,2,27
2013-01-08,2,2,43
2013-01-09,2,2,38
2013-01-10,2,2,49
2013-01-11,2,2,53
2013-01-12,2,2,47
2013-01-13,2,2,58
2013-01-14,2,2,26
2013-01-15,2,2,40
2013-01-16,2,2,43
2013-01-17,2,2,38
2013-01-18,2,2,46
2013-01-19,2,2,50
2013-01-20,2,2,49
2013-01-21,2,2,36
2013-01-22,2,2,43
2013-01-23,2,2,35
2013-01-24,2,2,41
2013-01-25,2,2,50
2013-01-26,2,2,38
2013-01-27,2,2,50
2013-01-28,2,2,35
2013-01-29,2,2,41
2013-01-30,2,2,45
2013-01-31,2,2,42
2013-02-01,2,2,36
2013-02-02,2,2,47
2013-02-03,2,2,48
2013-02-04,2,2,31
2013-02-05,2,2,41
2013-02-06,2,2,36
2013-02-07,2,2,48
2013-02-08,2,2,40
2013-02-09,2,2,61
2013-02-10,2,2,49
2013-02-11,2,2,38
2013-02-12,2,2,46
2013-02-13,2,2,48
2013-02-14,2,2,46
2013-02-15,2,2,52
2013-02-16,2,2,49
2013-02-17,2,2,53
2013-02-18,2,2,35
2013-02-19,2,2,46
2013-02-20,2,2,50
2013-02-21,2,2,49
2013-02-22,2,2,46
2013-02-23,2,2,53
2013-02-24,2,2,57
2013-02-25,2,2,33
2013-02-26,2,2,38
2013-02-27,2,2,48
2013-02-28,2,2,38
2013-01-01,3,2,43
2013-01-02,3,2,27
2013-01-03,3,2,38
2013-01-04,3,2,35
2013-01-05,3,2,47
2013-01-06,3,2,49
2013-01-07,3,2,38
2013-01-08,3,2,26
2013-01-09,3,2,39
2013-01-10,3,2,32
2013-01-11,3,2,45
2013-01-12,3,2,46
2013-01-13,3,2,35
2013-01-14,3,2,35
2013-01-15,3,2,37
2013-01-16,3,2,34
2013-01-17,3,2,45
2013-01-18,3,2,49
2013-01-19,3,2,39
2013-01-20,3,2,41
2013-01-21,3,2,32
2013-01-22,3,2,30
2013-01-23,3,2,29
2013-01-24,3,2,41
2013-01-25,3,2,42
2013-01-26,3,2,48
2013-01-27,3,2,51
2013-01-28,3,2,31
2013-01-29,3,2,35
2013-01-30,3,2,37
2013-01-31,3,2,39
2013-02-01,3,2,35
2013-02-02,3,2,45
2013-02-03,3,2,45
2013-02-04,3,2,32
2013-02-05,3,2,40
2013-02-06,3,2,38
2013-02-07,3,2,45
2013-02-08,3,2,59
2013-02-09,3,2,49
2013-02-10,3,2,46
2013-02-11,3,2,31
2013-02-12,3,2,38
2013-02-13,3,2,47
2013-02-14,3,2,49
2013-02-15,3,2,51
2013-02-16,3,2,58
2013-02-17,3,2,45
2013-02-18,3,2,25
2013-02-19,3,2,37
2013-02-20,3,2,41
2013-02-21,3,2,45
2013-02-22,3,2,48
2013-02-23,3,2,34
2013-02-24,3,2,44
2013-02-25,3,2,30
2013-02-26,3,2,39
2013-02-27,3,2,29
2013-02-28,3,2,45
2013-01-01,4,2,30
2013-01-02,4,2,28
2013-01-03,4,2,37
2013-01-04,4,2,44
2013-01-05,4,2,36
2013-01-06,4,2,49
2013-01-07,4,2,26
2013-01-08,4,2,29
2013-01-09,4,2,26
2013-01-10,4,2,31
2013-01-11,4,2,34
2013-01-12,4,2,45
2013-01-13,4,2,46
2013-01-14,4,2,27
2013-01-15,4,2,34
2013-01-16,4,2,27
2013-01-17,4,2,48
2013-01-18,4,2,45
2013-01-19,4,2,43
2013-01-20,4,2,47
2013-01-21,4,2,25
2013-01-22,4,2,44
2013-01-23,4,2,31
2013-01-24,4,2,34
2013-01-25,4,2,31
2013-01-26,4,2,34
2013-01-27,4,2,40
2013-01-28,4,2,13
2013-01-29,4,2,35
2013-01-30,4,2,18
2013-01-31,4,2,35
2013-02-01,4,2,44
2013-02-02,4,2,43
2013-02-03,4,2,57
2013-02-04,4,2,32
2013-02-05,4,2,36
2013-02-06,4,2,27
2013-02-07,4,2,47
2013-02-08,4,2,52
2013-02-09,4,2,42
2013-02-10,4,2,50
2013-02-11,4,2,28
2013-02-12,4,2,30
2013-02-13,4,2,38
2013-02-14,4,2,52
2013-02-15,4,2,34
2013-02-16,4,2,40
2013-02-17,4,2,63
2013-02-18,4,2,32
2013-02-19,4,2,38
2013-02-20,4,2,29
2013-02-21,4,2,48
2013-02-22,4,2,36
2013-02-23,4,2,50
2013-02-24,4,2,43
2013-02-25,4,2,32
2013-02-26,4,2,40
2013-02-27,4,2,27
2013-02-28,4,2,44
2013-01-01,5,2,26
2013-01-02,5,2,22
2013-01-03,5,2,26
2013-01-04,5,2,23
2013-01-05,5,2,22
2013-01-06,5,2,28
2013-01-07,5,2,11
2013-01-08,5,2,28
2013-01-09,5,2,22
2013-01-10,5,2,32
2013-01-11,5,2,24
2013-01-12,5,2,29
2013-01-13,5,2,32
2013-01-14,5,2,9
2013-01-15,5,2,27
2013-01-16,5,2,21
2013-01-17,5,2,30
2013-01-18,5,2,33
2013-01-19,5,2,30
2013-01-20,5,2,31
2013-01-21,5,2,11
2013-01-22,5,2,29
2013-01-23,5,2,19
2013-01-24,5,2,23
2013-01-25,5,2,35
2013-01-26,5,2,39
2013-01-27,5,2,21
2013-01-28,5,2,20
2013-01-29,5,2,20
2013-01-30,5,2,25
2013-01-31,5,2,26
2013-02-01,5,2,33
2013-02-02,5,2,31
2013-02-03,5,2,36
2013-02-04,5,2,13
2013-02-05,5,2,25
2013-02-06,5,2,25
2013-02-07,5,2,19
2013-02-08,5,2,41
2013-02-09,5,2,33
2013-02-10,5,2,33
2013-02-11,5,2,27
2013-02-12,5,2,32
2013-02-13,5,2,17
2013-02-14,5,2,35
2013-02-15,5,2,26
2013-02-16,5,2,39
2013-02-17,5,2,39
2013-02-18,5,2,24
2013-02-19,5,2,24
2013-02-20,5,2,28
2013-02-21,5,2,32
2013-02-22,5,2,31
2013-02-23,5,2,37
2013-02-24,5,2,36
2013-02-25,5,2,21
2013-02-26,5,2,23
2013-02-27,5,2,32
2013-02-28,5,2,31
2013-01-01,6,2,27
2013-01-02,6,2,18
2013-01-03,6,2,20
2013-01-04,6,2,24
2013-01-05,6,2,32
2013-01-06,6,2,34
2013-01-07,6,2,21
2013-01-08,6,2,19
2013-01-09,6,2,28
2013-01-10,6,2,39
2013-01-11,6,2,36
2013-01-12,6,2,31
2013-01-13,6,2,38
2013-01-14,6,2,15
2013-01-15,6,2,29
2013-01-16,6,2,24
2013-01-17,6,2,33
2013-01-18,6,2,27
2013-01-19,6,2,32
2013-01-20,6,2,32
2013-01-21,6,2,14
2013-01-22,6,2,23
2013-01-23,6,2,25
2013-01-24,6,2,28
2013-01-25,6,2,24
2013-01-26,6,2,34
2013-01-27,6,2,27
2013-01-28,6,2,14
2013-01-29,6,2,26
2013-01-30,6,2,19
2013-01-31,6,2,24
2013-02-01,6,2,25
2013-02-02,6,2,40
2013-02-03,6,2,34
2013-02-04,6,2,27
2013-02-05,6,2,30
2013-02-06,6,2,27
2013-02-07,6,2,26
2013-02-08,6,2,30
2013-02-09,6,2,42
2013-02-10,6,2,40
2013-02-11,6,2,16
2013-02-12,6,2,15
2013-02-13,6,2,17
2013-02-14,6,2,35
2013-02-15,6,2,36
2013-02-16,6,2,33
2013-02-17,6,2,37
2013-02-18,6,2,16
2013-02-19,6,2,33
2013-02-20,6,2,26
2013-02-21,6,2,27
2013-02-22,6,2,25
2013-02-23,6,2,30
2013-02-24,6,2,34
2013-02-25,6,2,15
2013-02-26,6,2,31
2013-02-27,6,2,30
2013-02-28,6,2,28
2013-01-01,7,2,21
2013-01-02,7,2,23
2013-01-03,7,2,13
2013-01-04,7,2,34
2013-01-05,7,2,25
2013-01-06,7,2,24
2013-01-07,7,2,20
2013-01-08,7,2,24
2013-01-09,7,2,18
2013-01-10,7,2,21
2013-01-11,7,2,26
2013-01-12,7,2,27
2013-01-13,7,2,32
2013-01-14,7,2,17
2013-01-15,7,2,15
2013-01-16,7,2,13
2013-01-17,7,2,26
2013-01-18,7,2,25
2013-01-19,7,2,25
2013-01-20,7,2,33
2013-01-21,7,2,19
2013-01-22,7,2,17
2013-01-23,7,2,15
2013-01-24,7,2,19
2013-01-25,7,2,25
2013-01-26,7,2,27
2013-01-27,7,2,31
2013-01-28,7,2,23
2013-01-29,7,2,15
2013-01-30,7,2,23
2013-01-31,7,2,25
2013-02-01,7,2,28
2013-02-02,7,2,39
2013-02-03,7,2,35
2013-02-04,7,2,22
2013-02-05,7,2,26
2013-02-06,7,2,26
2013-02-07,7,2,23
2013-02-08,7,2,26
2013-02-09,7,2,32
2013-02-10,7,2,34
2013-02-11,7,2,17
2013-02-12,7,2,23
2013-02-13,7,2,28
2013-02-14,7,2,24
2013-02-15,7,2,28
2013-02-16,7,2,37
2013-02-17,7,2,26
2013-02-18,7,2,23
2013-02-19,7,2,18
2013-02-20,7,2,17
2013-02-21,7,2,13
2013-02-22,7,2,34
2013-02-23,7,2,27
2013-02-24,7,2,27
2013-02-25,7,2,22
2013-02-26,7,2,26
2013-02-27,7,2,25
2013-02-28,7,2,28
2013-01-01,8,2,39
2013-01-02,8,2,25
2013-01-03,8,2,34
2013-01-04,8,2,39
2013-01-05,8,2,45
2013-01-06,8,2,42
2013-01-07,8,2,30
2013-01-08,8,2,39
2013-01-09,8,2,28
2013-01-10,8,2,26
2013-01-11,8,2,47
2013-01-12,8,2,47
2013-01-13,8,2,57
2013-01-14,8,2,29
2013-01-15,8,2,49
2013-01-16,8,2,37
2013-01-17,8,2,41
2013-01-18,8,2,43
2013-01-19,8,2,37
2013-01-20,8,2,54
2013-01-21,8,2,31
2013-01-22,8,2,50
2013-01-23,8,2,39
2013-01-24,8,2,40
2013-01-25,8,2,41
2013-01-26,8,2,51
2013-01-27,8,2,54
2013-01-28,8,2,31
2013-01-29,8,2,31
2013-01-30,8,2,46
2013-01-31,8,2,45
2013-02-01,8,2,38
2013-02-02,8,2,54
2013-02-03,8,2,45
2013-02-04,8,2,38
2013-02-05,8,2,44
2013-02-06,8,2,41
2013-02-07,8,2,43
2013-02-08,8,2,39
2013-02-09,8,2,54
2013-02-10,8,2,55
2013-02-11,8,2,36
2013-02-12,8,2,38
2013-02-13,8,2,42
2013-02-14,8,2,47
2013-02-15,8,2,53
2013-02-16,8,2,47
2013-02-17,8,2,50
2013-02-18,8,2,35
2013-02-19,8,2,40
2013-02-20,8,2,43
2013-02-21,8,2,40
2013-02-22,8,2,43
2013-02-23,8,2,53
2013-02-24,8,2,59
2013-02-25,8,2,41
2013-02-26,8,2,45
2013-02-27,8,2,39
2013-02-28,8,2,36
2013-01-01,9,2,31
2013-01-02,9,2,26
2013-01-03,9,2,33
2013-01-04,9,2,42
2013-01-05,9,2,50
2013-01-06,9,2,44
2013-01-07,9,2,25
2013-01-08,9,2,46
2013-01-09,9,2,30
2013-01-10,9,2,43
2013-01-11,9,2,33
2013-01-12,9,2,51
2013-01-13,9,2,28
