id,time,F_x,F_y,F_z,T_x,T_y,T_z,target
7,2,-1,-1,56,-7,-3,0,True
7,3,0,-2,60,-6,0,0,True
7,4,-1,-1,57,-7,-4,0,True
7,5,-1,-1,56,-7,-3,0,True
7,6,-1,-1,61,-8,-5,0,True
7,7,-1,0,57,-6,-5,0,True
7,8,-2,-1,57,-7,-4,1,True
7,9,-1,0,53,-10,-5,-1,True
7,10,0,-2,70,-7,-5,0,True
7,11,-1,0,67,-10,-7,-1,True
7,12,0,-2,50,-3,-1,0,True
7,13,-1,-1,59,-9,-4,0,True
7,14,0,-2,61,-6,-1,0,True
9,0,-1,1,58,-11,-4,-1,True
9,1,0,0,64,-9,-3,0,True
9,2,0,0,61,-11,-2,0,True
9,3,-1,2,55,-13,-3,1,True
9,4,-1,1,51,-11,-4,0,True
9,5,0,3,58,-13,-4,0,True
9,6,-3,5,61,-18,-7,-1,True
9,7,2,1,69,-10,0,1,True
9,8,-1,1,61,-13,-5,-1,True
9,9,-2,3,57,-15,-6,-1,True
9,10,0,-2,57,-8,-4,1,True
9,11,-1,-2,58,-8,-4,1,True
9,12,-1,-1,56,-10,-3,0,True
9,13,0,0,57,-9,-4,0,True
9,14,-1,0,57,-9,-4,3,True
10,0,-1,-1,63,-3,-1,0,True
10,1,-1,-1,61,-2,-2,0,True
10,2,-1,-1,63,-3,0,0,True
10,3,-1,-1,64,-2,0,0,True
10,4,-1,-1,63,-2,-1,0,True
10,5,-1,-1,63,-3,0,0,True
10,6,-1,-1,63,-2,-1,0,True
10,7,-1,-1,63,-3,0,0,True
10,8,-1,-1,63,-3,-1,0,True
10,9,-1,-1,63,-3,0,0,True
10,10,0,0,63,-3,-1,0,True
10,11,-1,-1,63,-2,-1,0,True
10,12,-1,-1,63,-2,-1,0,True
10,13,-1,-1,64,-2,0,0,True
10,14,-1,-1,64,-3,-1,0,True
12,0,1,-3,62,-1,2,0,True
12,1,-1,0,51,-3,-2,-1,True
12,2,1,0,70,-5,1,-1,True
12,3,-1,0,63,-7,-2,-1,True
12,4,0,1,63,-6,-2,-1,True
12,5,1,-4,66,1,-1,0,True
12,6,2,1,66,-5,0,0,True
12,7,-3,2,59,-7,-4,0,True
12,8,-1,0,61,-4,-3,-1,True
12,9,-2,0,63,-5,-6,1,True
12,10,-1,-1,60,-3,-5,0,True
12,11,1,-4,59,0,1,0,True
12,12,-1,-3,51,-1,-4,0,True
12,13,0,-3,69,-3,1,0,True
12,14,-2,2,60,-10,-5,0,True
13,0,0,-1,69,-4,2,-1,True
13,1,-3,4,60,-12,-4,0,True
13,2,0,0,69,-5,-1,0,True
13,3,-1,3,67,-11,-2,1,True
13,4,-2,2,61,-9,-5,0,True
13,5,0,-5,59,0,-1,0,True
13,6,0,-5,60,0,1,0,True
13,7,-2,1,57,-6,-3,0,True
13,8,-2,2,61,-9,-5,-1,True
13,9,-1,3,68,-9,-4,0,True
13,10,-2,4,60,-10,-5,0,True
13,11,1,2,66,-10,1,-1,True
13,12,-1,-1,58,-5,2,0,True
13,13,1,-4,52,0,4,0,True
13,14,-1,-2,54,-3,-3,-1,True
14,0,1,-2,57,-4,0,-1,True
14,1,-1,0,64,-9,-2,0,True
14,2,-1,1,66,-8,-2,-1,True
14,3,-2,2,64,-11,-6,-1,True
14,4,0,1,60,-6,-1,-1,True
14,5,-1,-1,56,-6,-3,0,True
14,6,0,-1,59,-4,-5,-1,True
14,7,1,-2,64,-7,-2,-1,True
14,8,-2,1,59,-8,-6,0,True
14,9,1,-2,63,-4,-1,0,True
14,10,-1,-1,47,-3,-2,0,True
14,11,1,-4,59,0,2,0,True
14,12,-1,-3,64,-4,-6,0,True
14,13,0,-2,60,-4,-1,0,True
14,14,0,-1,60,-6,0,-1,True
15,0,-1,1,67,-9,-4,-1,True
15,1,1,-1,64,-5,-1,-1,True
15,2,1,-1,72,-6,-2,0,True
15,3,-1,1,58,-11,-4,-1,True
15,4,0,-3,58,-5,1,0,True
15,5,-1,2,58,-9,-4,0,True
15,6,-2,1,57,-9,-3,0,True
15,7,-1,-1,61,-5,0,0,True
15,8,0,1,61,-9,-1,-1,True
15,9,-2,4,54,-10,-4,0,True
15,10,-2,3,60,-11,-6,0,True
15,11,1,-1,69,-8,0,0,True
15,12,-3,2,58,-11,-5,1,True
15,13,-2,2,67,-11,-7,0,True
15,14,-1,0,65,-9,-3,-1,True
17,0,-1,1,58,-8,-4,1,True
17,1,-2,0,57,-7,-3,1,True
17,2,0,0,63,-11,-6,0,True
17,3,-2,-1,64,-9,-6,1,True
17,4,-2,0,54,-9,-5,1,True
17,5,-1,-1,57,-9,-4,0,True
17,6,-2,2,58,-10,-5,1,True
17,7,0,-3,63,-7,-1,0,True
17,8,-1,0,57,-8,-3,1,True
17,9,0,0,60,-10,-5,0,True
17,10,-1,1,56,-10,-3,0,True
17,11,0,0,55,-8,-3,2,True
17,12,-1,-1,50,-7,-2,-1,True
17,13,-1,-2,57,-6,-4,0,True
17,14,0,2,63,-12,-2,1,True
18,0,1,0,60,-8,1,1,True
18,1,-1,1,57,-12,-3,-1,True
18,2,-1,1,53,-12,-6,-1,True
18,3,-1,1,60,-11,-5,-1,True
18,4,-1,3,53,-12,-2,1,True
18,5,-1,1,57,-12,-5,-1,True
18,6,1,-2,68,-12,-2,-1,True
18,7,-1,-2,59,-8,-1,0,True
18,8,-2,3,56,-15,-6,0,True
18,9,1,-2,60,-6,2,0,True
18,10,0,1,60,-14,-5,0,True
18,11,-1,2,57,-13,-4,-2,True
18,12,-1,1,58,-11,-4,-1,True
18,13,-1,2,58,-12,-4,0,True
18,14,-1,2,57,-13,-4,0,True
21,0,-21,-50,46,-180,266,98,False
21,1,-119,2,146,5,-115,-14,False
21,2,-38,-10,43,-8,-27,-4,False
21,3,3,9,66,-5,-3,-2,False
21,4,5,12,59,-16,11,1,False
21,5,-9,2,73,-2,-13,0,False
21,6,0,-4,51,5,-2,0,False
21,7,13,-3,66,3,18,0,False
21,8,8,-1,66,1,12,1,False
21,9,-5,0,54,-1,-7,0,False
21,10,-3,-1,63,1,-5,-1,False
21,11,-7,-2,65,3,-8,0,False
21,12,-1,-1,61,2,-1,0,False
21,13,-1,1,65,-2,-3,0,False
21,14,4,1,64,-2,7,1,False
22,0,112,-54,85,-77,284,-3,False
22,1,-5,-36,56,123,-115,-29,False
22,2,5,-24,74,50,-19,-2,False
22,3,7,-12,65,5,26,1,False
22,4,-2,-7,57,11,-3,0,False
22,5,-4,5,66,-7,-8,0,False
22,6,-2,4,57,-2,0,0,False
22,7,-4,4,65,-8,-6,0,False
22,8,-3,3,52,-3,-3,1,False
22,9,-2,3,57,-3,-1,0,False
22,10,1,1,64,1,2,1,False
22,11,1,1,60,-1,3,0,False
22,12,0,0,56,0,3,0,False
22,13,-1,2,63,-3,-1,-1,False
22,14,-1,4,59,-2,-1,1,False
24,0,-127,83,69,-71,-148,-53,False
24,1,-134,53,108,-59,-173,-23,False
24,2,-49,54,79,-75,-60,8,False
24,3,-15,53,74,-67,-8,1,False
24,4,-7,31,75,-40,-12,-10,False
24,5,-14,15,60,-15,-20,-6,False
24,6,-4,9,51,-15,-2,11,False
24,7,8,7,58,-11,12,2,False
24,8,6,-1,63,0,9,-6,False
24,9,-1,2,52,-5,-2,-5,False
24,10,-4,1,59,-6,-7,5,False
24,11,-1,1,52,-2,-2,2,False
24,12,3,0,66,-2,1,-4,False
24,13,1,1,60,-3,2,-2,False
24,14,0,1,64,-4,1,4,False
25,0,-72,-24,84,120,-196,-15,False
25,1,-26,-10,37,12,-50,-3,False
25,2,-30,-17,67,16,-40,-4,False
25,3,0,-3,50,-1,-10,0,False
25,4,0,-3,53,-2,-1,-3,False
25,5,-5,-1,60,-6,-11,-1,False
25,6,0,-3,64,-3,-4,-1,False
25,7,6,-4,57,-1,4,0,False
25,8,5,-5,59,-2,5,-1,False
25,9,-2,-4,64,-1,-7,0,False
25,10,-1,-3,58,-3,-5,0,False
25,11,0,0,60,-9,-3,0,False
25,12,1,-1,53,-4,-4,-2,False
25,13,0,0,59,-6,-3,0,False
25,14,1,1,59,-10,-2,0,False
28,0,5,23,157,-186,179,2,False
28,1,-25,8,93,-46,25,-5,False
28,2,-16,-8,56,19,-54,1,False
28,3,1,-1,50,-5,-8,-1,False
28,4,0,2,55,-10,3,0,False
28,5,-5,-2,60,-4,-11,0,False
28,6,-1,-6,58,1,-5,0,False
28,7,5,-4,64,-4,2,-2,False
28,8,6,-5,63,-1,2,0,False
28,9,-1,-3,58,-2,-5,0,False
28,10,-1,-4,57,-2,-6,-2,False
28,11,0,-4,61,-4,-6,0,False
28,12,2,-5,66,-3,0,0,False
28,13,1,-2,53,-4,-4,-1,False
28,14,1,-3,51,-2,-3,0,False
32,0,2,-3,70,-3,-1,0,False
32,1,0,7,69,-21,14,-15,False
32,2,-20,-7,52,9,-41,0,False
32,3,0,-2,63,-7,3,0,False
32,4,2,0,62,-6,2,-1,False
32,5,-3,0,57,-6,-5,-1,False
32,6,-2,-1,54,-4,-7,0,False
32,7,3,-5,54,0,3,-1,False
32,8,4,-3,63,-5,3,-1,False
32,9,1,-3,63,-3,0,0,False
32,10,-1,-3,59,-3,-7,-1,False
32,11,1,-3,60,-3,0,0,False
32,12,0,0,60,-8,-1,0,False
32,13,-1,0,57,-8,-6,-1,False
32,14,-1,1,58,-9,-3,0,False
33,0,4,-14,59,82,-85,13,False
33,1,32,7,47,-32,59,3,False
33,2,-2,2,72,-1,-16,1,False
33,3,-1,2,59,-15,-1,0,False
33,4,-1,3,58,-12,-2,1,False
33,5,1,3,67,-10,-4,1,False
33,6,-4,6,63,-15,-7,-1,False
33,7,-5,4,61,-14,-10,0,False
33,8,1,4,66,-14,-3,-1,False
33,9,2,2,65,-10,-1,-1,False
33,10,0,3,63,-13,0,-2,False
33,11,-2,5,57,-13,-6,-1,False
33,12,-1,1,65,-10,-4,0,False
33,13,-1,2,65,-11,-4,0,False
33,14,-1,0,59,-8,-7,0,False
43,0,0,2,61,-12,-2,5,True
43,1,-1,0,60,-6,-3,0,True
43,2,-1,1,53,-8,-5,3,True
43,3,1,-2,66,-6,-2,-1,True
43,4,1,-1,60,-9,-3,-1,True
43,5,0,0,64,-9,-1,-1,True
43,6,0,0,57,-8,-4,-1,True
43,7,-1,1,64,-12,-4,-1,True
43,8,-1,1,66,-9,-4,-1,True
43,9,0,1,66,-13,-5,-1,True
43,10,-1,1,59,-12,-4,-1,True
43,11,-1,1,66,-12,-5,0,True
43,12,0,1,65,-12,-3,-2,True
43,13,1,1,63,-10,-2,-1,True
43,14,-1,0,64,-9,-5,-1,True
44,0,-35,17,-1029,-232,27,1,False
44,1,-45,31,-1395,-151,12,-11,False
44,2,10,-20,22,12,9,-1,False
44,3,-1,-24,62,20,-9,0,False
44,4,1,2,51,-13,-4,-2,False
44,5,-1,-4,59,-5,-7,0,False
44,6,1,1,56,-12,-4,-2,False
44,7,4,4,58,-15,3,-1,False
44,8,3,4,62,-16,0,-1,False
44,9,0,8,57,-19,-6,-1,False
44,10,-4,8,60,-20,-9,-1,False
44,11,-4,7,59,-18,-8,-1,False
44,12,-3,6,59,-17,-6,-1,False
44,13,-2,5,58,-17,-6,-1,False
44,14,-2,4,59,-16,-6,-1,False
47,0,-13,-12,-558,-450,-108,21,False
47,1,-19,-69,-738,-430,-128,23,False
47,2,-20,-148,-923,-396,-156,36,False
47,3,-32,-176,-1168,-495,-210,52,False
47,4,-36,-192,-1286,-560,-232,55,False
47,5,27,-68,-588,-331,-39,17,False
47,6,-6,-72,-588,-378,-65,2,False
47,7,1,-35,-603,-403,-68,13,False
47,8,3,-48,-581,-381,-52,6,False
47,9,1,-46,-598,-397,-57,6,False
47,10,2,-49,-590,-390,-64,10,False
47,11,2,-46,-594,-393,-60,8,False
47,12,2,-47,-584,-387,-56,8,False
47,13,2,-45,-586,-386,-58,8,False
47,14,1,-45,-581,-383,-59,8,False
48,0,3,-10,-7,-44,1,5,False
48,1,-1,-86,-628,-338,-98,16,False
48,2,-35,-79,-685,-418,-206,46,False
48,3,-60,-113,-800,-453,-302,76,False
48,4,-78,-159,-1032,-535,-395,104,False
48,5,-92,-195,-1274,-672,-468,123,False
48,6,-66,-110,-614,-340,-284,83,False
48,7,27,-38,-640,-498,-38,3,False
48,8,4,-44,-654,-476,-88,9,False
48,9,11,-50,-606,-445,-70,3,False
48,10,13,-63,-598,-425,-63,2,False
48,11,11,-58,-601,-429,-64,3,False
48,12,10,-53,-595,-425,-63,3,False
48,13,10,-56,-599,-427,-65,3,False
48,14,10,-57,-599,-426,-67,4,False
49,0,-1,-86,-628,-338,-98,16,False
49,1,-35,-79,-685,-418,-206,46,False
49,2,-78,-159,-1032,-535,-395,104,False
49,3,-60,-113,-800,-453,-302,76,False
49,4,-92,-195,-1274,-672,-468,123,False
49,5,-66,-110,-614,-340,-284,83,False
49,6,27,-38,-640,-498,-38,3,False
49,7,4,-44,-654,-476,-88,9,False
49,8,11,-50,-606,-445,-70,3,False
49,9,13,-63,-598,-425,-63,2,False
49,10,11,-58,-601,-429,-64,3,False
49,11,10,-53,-595,-425,-63,3,False
49,12,10,-56,-599,-427,-65,3,False
49,13,10,-57,-599,-426,-67,4,False
49,14,11,-58,-601,-429,-64,3,False
50,0,-37,26,-779,-150,5,3,False
50,1,-51,23,-1340,-185,1,4,False
50,2,-7,31,0,-51,-16,-1,False
50,3,-7,32,52,-50,-12,-1,False
50,4,-2,21,58,-37,-4,0,False
50,5,-5,12,58,-26,-10,0,False
50,6,-3,8,57,-18,-8,0,False
50,7,-1,6,56,-18,-8,0,False
50,8,-1,6,56,-18,-8,0,False
50,9,0,4,58,-14,-4,0,False
50,10,0,0,59,-11,-3,0,False
50,11,1,1,59,-10,-2,0,False
50,12,0,0,58,-10,-2,0,False
50,13,-1,-1,58,-8,-5,0,False
50,14,-2,-1,54,-8,-7,0,False
51,0,-18,-9,46,-4,-11,-2,False
51,1,-6,-12,62,8,-16,2,False
51,2,35,20,-650,-97,-427,-13,False
51,3,68,47,-1145,-131,-633,-32,False
51,4,52,25,-877,-117,-530,-17,False
51,5,-16,6,0,5,-45,-4,False
51,6,-8,-16,72,11,-14,-1,False
51,7,-6,1,60,-12,-13,-1,False
51,8,-10,-3,58,-5,-16,-1,False
51,9,-8,-2,55,-7,-14,0,False
51,10,-5,-2,58,-5,-11,0,False
51,11,-2,-1,57,-7,-9,-1,False
51,12,1,2,53,-10,-7,0,False
51,13,-1,2,56,-11,-8,-1,False
51,14,-1,0,56,-10,-8,0,False
52,0,-21,1,-185,-202,3,11,False
52,1,-43,-86,-750,-315,127,10,False
52,2,-104,-105,-1173,-221,230,16,False
52,3,-134,-118,-1194,-183,195,15,False
52,4,-53,-5,-236,-273,26,9,False
52,5,-29,-9,-256,-267,12,-2,False
52,6,-17,1,-217,-245,27,3,False
52,7,-8,6,-210,-242,31,3,False
52,8,-9,6,-217,-253,34,4,False
52,9,-10,6,-225,-258,35,5,False
52,10,-7,6,-226,-259,38,4,False
52,11,-4,9,-217,-252,40,3,False
52,12,-4,8,-213,-249,39,4,False
52,13,-8,7,-216,-249,37,3,False
52,14,-8,7,-218,-252,35,3,False
53,0,-12,41,-133,-150,-53,-3,False
53,1,-10,40,-136,-145,-51,-3,False
53,2,-11,39,-142,-148,-54,-3,False
53,3,-12,43,-155,-158,-57,-3,False
53,4,-12,49,-169,-171,-58,-4,False
53,5,-14,51,-182,-175,-64,-4,False
53,6,-12,54,-195,-184,-60,-5,False
53,7,-15,54,-216,-188,-66,-4,False
53,8,-14,59,-235,-204,-66,-6,False
53,9,-14,62,-256,-213,-67,-5,False
53,10,-13,67,-278,-226,-67,-6,False
53,11,-15,68,-303,-233,-71,-6,False
53,12,-16,74,-328,-247,-75,-7,False
53,13,-15,77,-359,-259,-76,-7,False
53,14,-16,83,-394,-274,-79,-8,False
54,0,-17,99,-511,-319,-87,-10,False
54,1,-20,107,-554,-340,-91,-12,False
54,2,-19,113,-601,-357,-94,-12,False
54,3,-21,121,-657,-374,-99,-12,False
54,4,-19,127,-728,-391,-100,-14,False
54,5,-21,134,-800,-407,-105,-14,False
54,6,-21,137,-878,-419,-109,-15,False
54,7,-25,142,-966,-427,-118,-15,False
54,8,-24,145,-1083,-431,-115,-15,False
54,9,-25,151,-1180,-441,-124,-14,False
54,10,-24,134,-1287,-390,-121,-15,False
54,11,-25,127,-1409,-359,-124,-14,False
54,12,-25,123,-1491,-346,-127,-14,False
54,13,-31,141,-589,-360,-74,-16,False
54,14,-24,81,-481,-284,-148,-8,False
55,0,4,8,41,-28,10,0,False
55,1,4,7,33,-24,13,0,False
55,2,5,10,37,-31,14,0,False
55,3,4,8,27,-26,13,0,False
55,4,6,9,37,-30,15,0,False
55,5,6,11,29,-32,15,0,False
55,6,7,8,26,-28,18,0,False
55,7,6,10,23,-31,17,0,False
55,8,6,9,15,-28,17,1,False
55,9,8,11,24,-31,17,1,False
55,10,6,11,16,-32,17,1,False
55,11,7,12,12,-32,24,0,False
55,12,9,8,6,-28,22,1,False
55,13,8,11,7,-34,22,1,False
55,14,9,12,2,-32,23,0,False
56,0,6,9,15,-28,17,1,False
56,1,8,11,24,-31,17,1,False
56,2,6,11,16,-32,17,1,False
56,3,7,12,12,-32,24,0,False
56,4,9,8,6,-28,22,1,False
56,5,8,11,7,-34,22,1,False
56,6,9,13,0,-33,22,2,False
56,7,8,12,-8,-35,20,1,False
56,8,11,14,-21,-36,27,1,False
56,9,12,13,-13,-35,29,0,False
56,10,11,13,-16,-37,30,2,False
56,11,11,14,-24,-35,27,1,False
56,12,14,13,-26,-36,32,2,False
56,13,12,14,-31,-36,29,3,False
56,14,14,15,-35,-38,35,1,False
57,0,14,13,-26,-36,32,2,False
57,1,12,14,-31,-36,29,3,False
57,2,14,15,-35,-38,35,1,False
57,3,12,16,-52,-37,31,2,False
57,4,14,19,-52,-45,36,1,False
57,5,12,17,-63,-42,30,2,False
57,6,15,16,-64,-41,37,2,False
57,7,16,18,-83,-45,39,1,False
57,8,17,15,-91,-37,36,2,False
57,9,14,15,-99,-41,32,2,False
57,10,16,19,-113,-42,38,1,False
57,11,16,20,-132,-42,36,3,False
57,12,17,17,-139,-40,39,2,False
57,13,16,19,-160,-43,39,3,False
57,14,20,19,-174,-43,45,2,False
59,0,0,1,70,-10,-2,-1,False
59,1,-1,1,60,-4,-1,0,False
59,2,1,1,53,-6,3,1,False
59,3,2,1,51,-2,8,1,False
59,4,2,2,57,-4,9,2,False
59,5,2,2,45,0,13,1,False
59,6,2,2,29,3,19,3,False
59,7,5,3,22,7,30,4,False
59,8,3,7,3,6,36,5,False
59,9,7,8,-4,14,50,8,False
59,10,7,9,-22,20,56,9,False
59,11,9,12,-34,24,72,10,False
59,12,13,13,-49,33,87,12,False
59,13,16,12,-69,49,107,13,False
59,14,16,11,-94,64,122,17,False
63,0,0,0,50,-11,-7,0,False
63,1,1,-3,47,-9,-7,0,False
63,2,1,0,42,-15,-6,-1,False
63,3,-1,1,34,-18,-10,0,False
63,4,-1,-1,46,-13,-11,1,False
63,5,-1,-1,44,-14,-9,2,False
63,6,-3,-1,37,-13,-13,2,False
63,7,-5,-1,36,-17,-24,2,False
63,8,-4,-4,30,-14,-21,2,False
63,9,-2,-6,22,-14,-22,3,False
63,10,-5,-6,9,-20,-27,3,False
63,11,-5,-7,-2,-25,-33,4,False
63,12,-5,-4,-11,-39,-38,3,False
63,13,-9,-4,-14,-46,-48,2,False
63,14,-12,-2,-33,-55,-59,4,False
65,0,8,-12,-396,-261,-115,1,False
65,1,6,-10,-323,-220,-97,0,False
65,2,10,-11,-477,-306,-134,-1,False
65,3,17,-49,-768,-396,-215,3,False
65,4,13,-22,-605,-370,-171,-3,False
65,5,24,-127,-866,-259,-238,25,False
65,6,32,-183,-1053,-219,-290,43,False
65,7,37,-264,-1242,-126,-343,64,False
65,8,47,-343,-1407,-36,-385,86,False
65,9,45,-353,-1267,-6,-404,97,False
65,10,37,-10,-335,-335,-46,-18,False
65,11,8,7,-341,-296,-154,6,False
65,12,1,9,-338,-312,-128,-11,False
65,13,5,9,-341,-312,-109,-14,False
65,14,5,8,-343,-312,-117,-9,False
66,0,-1,-1,61,-5,-1,-1,False
66,1,-2,-1,58,-6,-4,0,False
66,2,6,4,-49,-57,-27,-2,False
66,3,14,13,-887,-220,-184,-14,False
66,4,20,-25,-1326,-166,-275,-4,False
66,5,-21,29,34,-61,-45,-3,False
66,6,3,-9,67,26,3,0,False
66,7,8,4,56,-11,10,-1,False
66,8,2,-2,59,-4,1,-1,False
66,9,-1,-4,54,-5,-3,-1,False
66,10,2,-2,58,-5,-2,-1,False
66,11,1,0,59,-7,-1,0,False
66,12,-1,1,61,-8,-4,0,False
66,13,-2,2,63,-8,-5,-1,False
66,14,-1,2,61,-9,-4,-1,False
67,0,-3,0,44,-11,-8,-2,False
67,1,0,-4,30,-5,-6,-2,False
67,2,-3,1,33,-15,-8,-2,False
67,3,-2,-1,23,-13,-9,-2,False
67,4,-3,0,15,-16,-14,-1,False
67,5,-2,0,-2,-19,-15,-2,False
67,6,-3,-1,-59,-27,-23,-2,False
67,7,-4,-2,-110,-33,-29,-2,False
67,8,-4,-3,-189,-46,-36,-3,False
67,9,-4,0,-297,-69,-39,-6,False
67,10,-1,3,-457,-106,-44,-9,False
67,11,0,7,-683,-144,-52,-14,False
67,12,2,12,-991,-197,-70,-20,False
67,13,0,6,-1368,-190,-80,-24,False
67,14,-3,-10,-1547,-127,-70,-25,False
68,0,-1,2,56,-11,-2,-1,True
68,1,-1,0,58,-8,-6,0,True
68,2,-4,1,57,-13,-8,-1,True
68,3,-2,1,53,-12,-7,-1,True
68,4,-2,1,51,-11,-6,-1,True
68,5,-2,2,57,-14,-8,-1,True
68,6,-2,0,58,-12,-8,-1,True
68,7,-1,2,54,-14,-8,-1,True
68,8,-2,3,57,-17,-8,0,True
68,9,-2,5,53,-20,-7,-1,True
68,10,-3,2,53,-16,-9,-1,True
68,11,-2,2,52,-18,-9,-1,True
68,12,-1,-1,54,-12,-8,0,True
68,13,-2,1,56,-16,-8,-1,True
68,14,-1,0,50,-16,-9,0,True
70,0,-13,15,-2,-88,-51,3,False
70,1,-14,17,0,-95,-54,4,False
70,2,-16,19,-9,-103,-61,4,False
70,3,-16,18,-9,-107,-64,6,False
70,4,-18,19,-13,-112,-69,5,False
70,5,-18,17,-20,-108,-67,6,False
70,6,-20,20,-23,-122,-79,7,False
70,7,-22,20,-28,-126,-85,3,False
70,8,-24,22,-42,-138,-95,-2,False
70,9,-25,21,-47,-145,-97,4,False
70,10,-28,23,-57,-156,-108,9,False
70,11,-32,30,-66,-173,-120,8,False
70,12,-33,28,-76,-181,-125,13,False
70,13,-35,29,-83,-190,-137,15,False
70,14,-41,32,-101,-206,-152,18,False
72,0,-1,3,43,-21,-8,0,False
72,1,0,4,46,-26,-6,-1,False
72,2,3,2,38,-23,-4,-1,False
72,3,2,3,39,-26,-4,0,False
72,4,3,3,32,-22,-2,-1,False
72,5,3,0,35,-21,-3,-1,False
72,6,4,0,40,-23,-5,0,False
72,7,4,3,29,-34,-9,-1,False
72,8,4,4,27,-37,-11,-2,False
72,9,1,6,25,-39,-16,0,False
72,10,2,4,29,-43,-18,1,False
72,11,1,4,22,-37,-19,1,False
72,12,-3,4,26,-39,-26,1,False
72,13,-2,3,19,-34,-25,2,False
72,14,-2,1,19,-32,-26,3,False
73,0,-2,1,13,-29,-25,3,False
73,1,-2,1,17,-33,-28,2,False
73,2,0,-1,12,-25,-19,2,False
73,3,3,2,4,-45,-23,-1,False
73,4,-1,1,13,-44,-30,2,False
73,5,3,5,-2,-54,-25,-1,False
73,6,6,1,-22,-64,-23,-3,False
73,7,9,7,-37,-88,-26,-7,False
73,8,13,9,-60,-113,-26,-14,False
73,9,18,12,-95,-142,-27,-18,False
73,10,22,14,-117,-172,-29,-24,False
73,11,26,19,-152,-203,-31,-30,False
73,12,35,17,-197,-238,-28,-35,False
73,13,41,20,-248,-285,-31,-43,False
73,14,53,19,-313,-337,-31,-53,False
74,0,61,24,-386,-397,-30,-61,False
74,1,65,32,-438,-467,-48,-69,False
74,2,61,37,-411,-460,-47,-66,False
74,3,58,39,-378,-438,-42,-64,False
74,4,53,38,-364,-423,-42,-62,False
74,5,53,38,-353,-416,-41,-61,False
74,6,51,37,-348,-411,-43,-61,False
74,7,50,37,-342,-407,-42,-60,False
74,8,50,37,-336,-403,-42,-59,False
74,9,49,36,-332,-401,-41,-58,False
74,10,49,37,-331,-397,-42,-58,False
74,11,49,37,-328,-395,-42,-58,False
74,12,48,36,-325,-393,-41,-57,False
74,13,48,36,-324,-391,-41,-57,False
74,14,48,36,-322,-389,-42,-56,False
75,0,-2,1,38,-22,-13,3,False
75,1,-1,0,43,-21,-13,5,False
75,2,-2,-2,37,-18,-17,5,False
75,3,-4,-3,30,-16,-23,6,False
75,4,-3,-5,22,-13,-22,7,False
75,5,-2,-8,17,-7,-23,6,False
75,6,4,-13,10,-8,-12,3,False
75,7,4,-12,4,-10,-12,3,False
75,8,5,-15,3,-6,-8,3,False
