,value,split,value_feature
65,47,0,57 43 39 57 56 102 85 79 82 60
66,43,0,43 39 57 56 102 85 79 82 60 47
67,49,0,39 57 56 102 85 79 82 60 47 43
68,60,0,57 56 102 85 79 82 60 47 43 49
69,55,0,56 102 85 79 82 60 47 43 49 60
70,63,0,102 85 79 82 60 47 43 49 60 55
71,57,0,85 79 82 60 47 43 49 60 55 63
72,61,0,79 82 60 47 43 49 60 55 63 57
73,59,0,82 60 47 43 49 60 55 63 57 61
74,35,0,60 47 43 49 60 55 63 57 61 59
75,69,0,47 43 49 60 55 63 57 61 59 35
76,48,0,43 49 60 55 63 57 61 59 35 69
77,47,0,49 60 55 63 57 61 59 35 69 48
78,44,0,60 55 63 57 61 59 35 69 48 47
79,47,0,55 63 57 61 59 35 69 48 47 44
80,51,0,63 57 61 59 35 69 48 47 44 47
81,54,0,57 61 59 35 69 48 47 44 47 51
82,41,0,61 59 35 69 48 47 44 47 51 54
83,53,0,59 35 69 48 47 44 47 51 54 41
84,49,0,35 69 48 47 44 47 51 54 41 53
85,23,0,69 48 47 44 47 51 54 41 53 49
86,31,0,48 47 44 47 51 54 41 53 49 23
87,38,0,47 44 47 51 54 41 53 49 23 31
88,57,0,44 47 51 54 41 53 49 23 31 38
89,56,0,47 51 54 41 53 49 23 31 38 57
90,70,0,51 54 41 53 49 23 31 38 57 56
91,57,0,54 41 53 49 23 31 38 57 56 70
92,64,0,41 53 49 23 31 38 57 56 70 57
93,79,0,53 49 23 31 38 57 56 70 57 64
94,65,0,49 23 31 38 57 56 70 57 64 79
95,70,0,23 31 38 57 56 70 57 64 79 65
96,51,0,31 38 57 56 70 57 64 79 65 70
97,43,0,38 57 56 70 57 64 79 65 70 51
98,60,0,57 56 70 57 64 79 65 70 51 43
99,49,0,56 70 57 64 79 65 70 51 43 60
100,37,0,70 57 64 79 65 70 51 43 60 49
101,54,0,57 64 79 65 70 51 43 60 49 37
102,58,0,64 79 65 70 51 43 60 49 37 54
103,67,0,79 65 70 51 43 60 49 37 54 58
104,72,0,65 70 51 43 60 49 37 54 58 67
105,49,0,70 51 43 60 49 37 54 58 67 72
106,45,0,51 43 60 49 37 54 58 67 72 49
107,48,0,43 60 49 37 54 58 67 72 49 45
108,29,0,60 49 37 54 58 67 72 49 45 48
109,23,0,49 37 54 58 67 72 49 45 48 29
110,26,0,37 54 58 67 72 49 45 48 29 23
111,28,0,54 58 67 72 49 45 48 29 23 26
112,27,0,58 67 72 49 45 48 29 23 26 28
113,18,0,67 72 49 45 48 29 23 26 28 27
114,37,0,72 49 45 48 29 23 26 28 27 18
115,35,0,49 45 48 29 23 26 28 27 18 37
116,25,0,45 48 29 23 26 28 27 18 37 35
117,28,0,48 29 23 26 28 27 18 37 35 25
118,27,0,29 23 26 28 27 18 37 35 25 28
119,35,0,23 26 28 27 18 37 35 25 28 27
120,41,0,26 28 27 18 37 35 25 28 27 35
121,34,0,28 27 18 37 35 25 28 27 35 41
122,42,0,27 18 37 35 25 28 27 35 41 34
123,58,0,18 37 35 25 28 27 35 41 34 42
124,59,0,37 35 25 28 27 35 41 34 42 58
125,27,0,35 25 28 27 35 41 34 42 58 59
126,49,0,25 28 27 35 41 34 42 58 59 27
127,52,0,28 27 35 41 34 42 58 59 27 49
128,25,0,27 35 41 34 42 58 59 27 49 52
129,36,0,35 41 34 42 58 59 27 49 52 25
130,31,0,41 34 42 58 59 27 49 52 25 36
131,23,0,34 42 58 59 27 49 52 25 36 31
132,24,0,42 58 59 27 49 52 25 36 31 23
133,10,0,58 59 27 49 52 25 36 31 23 24
134,27,0,59 27 49 52 25 36 31 23 24 10
135,32,0,27 49 52 25 36 31 23 24 10 27
136,17,0,49 52 25 36 31 23 24 10 27 32
137,33,0,52 25 36 31 23 24 10 27 32 17
138,40,0,25 36 31 23 24 10 27 32 17 33
139,25,0,36 31 23 24 10 27 32 17 33 40
140,16,0,31 23 24 10 27 32 17 33 40 25
141,24,0,23 24 10 27 32 17 33 40 25 16
142,37,0,24 10 27 32 17 33 40 25 16 24
143,34,0,10 27 32 17 33 40 25 16 24 37
144,60,0,27 32 17 33 40 25 16 24 37 34
145,57,0,32 17 33 40 25 16 24 37 34 60
146,62,0,17 33 40 25 16 24 37 34 60 57
147,56,0,33 40 25 16 24 37 34 60 57 62
148,68,0,40 25 16 24 37 34 60 57 62 56
149,54,0,25 16 24 37 34 60 57 62 56 68
150,49,0,16 24 37 34 60 57 62 56 68 54
151,42,0,24 37 34 60 57 62 56 68 54 49
152,39,0,37 34 60 57 62 56 68 54 49 42
153,50,0,34 60 57 62 56 68 54 49 42 39
154,47,0,60 57 62 56 68 54 49 42 39 50
155,30,0,57 62 56 68 54 49 42 39 50 47
156,40,0,62 56 68 54 49 42 39 50 47 30
157,45,0,56 68 54 49 42 39 50 47 30 40
158,37,0,68 54 49 42 39 50 47 30 40 45
159,58,0,54 49 42 39 50 47 30 40 45 37
160,35,0,49 42 39 50 47 30 40 45 37 58
161,46,0,42 39 50 47 30 40 45 37 58 35
162,37,0,39 50 47 30 40 45 37 58 35 46
163,35,0,50 47 30 40 45 37 58 35 46 37
164,50,0,47 30 40 45 37 58 35 46 37 35
165,27,0,30 40 45 37 58 35 46 37 35 50
166,54,0,40 45 37 58 35 46 37 35 50 27
167,51,0,45 37 58 35 46 37 35 50 27 54
168,41,0,37 58 35 46 37 35 50 27 54 51
169,50,0,58 35 46 37 35 50 27 54 51 41
170,90,0,35 46 37 35 50 27 54 51 41 50
171,55,0,46 37 35 50 27 54 51 41 50 90
172,57,0,37 35 50 27 54 51 41 50 90 55
173,57,0,35 50 27 54 51 41 50 90 55 57
174,71,0,50 27 54 51 41 50 90 55 57 57
175,35,0,27 54 51 41 50 90 55 57 57 71
176,28,0,54 51 41 50 90 55 57 57 71 35
177,32,0,51 41 50 90 55 57 57 71 35 28
178,32,0,41 50 90 55 57 57 71 35 28 32
179,60,0,50 90 55 57 57 71 35 28 32 32
180,32,0,90 55 57 57 71 35 28 32 32 60
181,47,0,55 57 57 71 35 28 32 32 60 32
182,38,0,57 57 71 35 28 32 32 60 32 47
183,46,0,57 71 35 28 32 32 60 32 47 38
184,54,0,71 35 28 32 32 60 32 47 38 46
185,56,0,35 28 32 32 60 32 47 38 46 54
186,63,0,28 32 32 60 32 47 38 46 54 56
187,67,0,32 32 60 32 47 38 46 54 56 63
188,68,0,32 60 32 47 38 46 54 56 63 67
189,61,0,60 32 47 38 46 54 56 63 67 68
190,44,0,32 47 38 46 54 56 63 67 68 61
191,57,0,47 38 46 54 56 63 67 68 61 44
192,61,0,38 46 54 56 63 67 68 61 44 57
193,55,0,46 54 56 63 67 68 61 44 57 61
194,66,0,54 56 63 67 68 61 44 57 61 55
195,87,0,56 63 67 68 61 44 57 61 55 66
196,68,0,63 67 68 61 44 57 61 55 66 87
197,73,0,67 68 61 44 57 61 55 66 87 68
198,66,0,68 61 44 57 61 55 66 87 68 73
199,73,0,61 44 57 61 55 66 87 68 73 66
200,100,0,44 57 61 55 66 87 68 73 66 73
201,105,0,57 61 55 66 87 68 73 66 73 100
202,90,0,61 55 66 87 68 73 66 73 100 105
203,66,0,55 66 87 68 73 66 73 100 105 90
204,64,0,66 87 68 73 66 73 100 105 90 66
205,58,0,87 68 73 66 73 100 105 90 66 64
206,70,0,68 73 66 73 100 105 90 66 64 58
207,74,0,73 66 73 100 105 90 66 64 58 70
208,48,0,66 73 100 105 90 66 64 58 70 74
209,59,0,73 100 105 90 66 64 58 70 74 48
210,69,0,100 105 90 66 64 58 70 74 48 59
211,67,0,105 90 66 64 58 70 74 48 59 69
212,40,0,90 66 64 58 70 74 48 59 69 67
213,47,0,66 64 58 70 74 48 59 69 67 40
214,42,0,64 58 70 74 48 59 69 67 40 47
215,153,0,58 70 74 48 59 69 67 40 47 42
216,67,0,70 74 48 59 69 67 40 47 42 153
217,73,0,74 48 59 69 67 40 47 42 153 67
218,58,0,48 59 69 67 40 47 42 153 67 73
219,97,0,59 69 67 40 47 42 153 67 73 58
220,99,0,69 67 40 47 42 153 67 73 58 97
221,65,0,67 40 47 42 153 67 73 58 97 99
222,82,0,40 47 42 153 67 73 58 97 99 65
223,66,0,47 42 153 67 73 58 97 99 65 82
224,44,0,42 153 67 73 58 97 99 65 82 66
225,65,0,153 67 73 58 97 99 65 82 66 44
226,75,0,67 73 58 97 99 65 82 66 44 65
227,50,0,73 58 97 99 65 82 66 44 65 75
228,62,0,58 97 99 65 82 66 44 65 75 50
229,57,0,97 99 65 82 66 44 65 75 50 62
230,102,0,99 65 82 66 44 65 75 50 62 57
231,80,0,65 82 66 44 65 75 50 62 57 102
232,84,0,82 66 44 65 75 50 62 57 102 80
233,104,0,66 44 65 75 50 62 57 102 80 84
234,76,0,44 65 75 50 62 57 102 80 84 104
235,71,0,65 75 50 62 57 102 80 84 104 76
236,49,0,75 50 62 57 102 80 84 104 76 71
237,103,0,50 62 57 102 80 84 104 76 71 49
238,134,0,62 57 102 80 84 104 76 71 49 103
239,106,0,57 102 80 84 104 76 71 49 103 134
240,127,0,102 80 84 104 76 71 49 103 134 106
241,93,0,80 84 104 76 71 49 103 134 106 127
242,84,0,84 104 76 71 49 103 134 106 127 93
243,56,0,104 76 71 49 103 134 106 127 93 84
244,61,0,76 71 49 103 134 106 127 93 84 56
245,57,0,71 49 103 134 106 127 93 84 56 61
246,45,0,49 103 134 106 127 93 84 56 61 57
247,54,0,103 134 106 127 93 84 56 61 57 45
248,64,0,134 106 127 93 84 56 61 57 45 54
249,74,0,106 127 93 84 56 61 57 45 54 64
250,56,0,127 93 84 56 61 57 45 54 64 74
251,73,0,93 84 56 61 57 45 54 64 74 56
252,84,0,84 56 61 57 45 54 64 74 56 73
253,57,0,56 61 57 45 54 64 74 56 73 84
254,63,0,61 57 45 54 64 74 56 73 84 57
255,70,0,57 45 54 64 74 56 73 84 57 63
256,74,0,45 54 64 74 56 73 84 57 63 70
257,57,0,54 64 74 56 73 84 57 63 70 74
258,62,0,64 74 56 73 84 57 63 70 74 57
259,69,0,74 56 73 84 57 63 70 74 57 62
260,61,0,56 73 84 57 63 70 74 57 62 69
261,66,0,73 84 57 63 70 74 57 62 69 61
262,65,0,84 57 63 70 74 57 62 69 61 66
263,55,0,57 63 70 74 57 62 69 61 66 65
264,54,0,63 70 74 57 62 69 61 66 65 55
265,55,0,70 74 57 62 69 61 66 65 55 54
266,53,0,74 57 62 69 61 66 65 55 54 55
267,67,0,57 62 69 61 66 65 55 54 55 53
268,70,0,62 69 61 66 65 55 54 55 53 67
269,76,0,69 61 66 65 55 54 55 53 67 70
270,67,0,61 66 65 55 54 55 53 67 70 76
271,110,0,66 65 55 54 55 53 67 70 76 67
272,41,0,65 55 54 55 53 67 70 76 67 110
273,64,0,55 54 55 53 67 70 76 67 110 41
274,61,0,54 55 53 67 70 76 67 110 41 64
275,39,0,55 53 67 70 76 67 110 41 64 61
276,61,0,53 67 70 76 67 110 41 64 61 39
277,73,0,67 70 76 67 110 41 64 61 39 61
278,62,0,70 76 67 110 41 64 61 39 61 73
279,67,0,76 67 110 41 64 61 39 61 73 62
280,51,0,67 110 41 64 61 39 61 73 62 67
281,81,0,110 41 64 61 39 61 73 62 67 51
282,87,0,41 64 61 39 61 73 62 67 51 81
283,52,0,64 61 39 61 73 62 67 51 81 87
284,62,0,61 39 61 73 62 67 51 81 87 52
285,108,0,39 61 73 62 67 51 81 87 52 62
286,76,0,61 73 62 67 51 81 87 52 62 108
287,57,0,73 62 67 51 81 87 52 62 108 76
288,68,0,62 67 51 81 87 52 62 108 76 57
289,59,0,67 51 81 87 52 62 108 76 57 68
290,68,0,51 81 87 52 62 108 76 57 68 59
291,54,0,81 87 52 62 108 76 57 68 59 68
292,56,0,87 52 62 108 76 57 68 59 68 54
293,56,0,52 62 108 76 57 68 59 68 54 56
294,75,0,62 108 76 57 68 59 68 54 56 56
295,69,0,108 76 57 68 59 68 54 56 56 75
296,51,0,76 57 68 59 68 54 56 56 75 69
297,58,0,57 68 59 68 54 56 56 75 69 51
298,60,0,68 59 68 54 56 56 75 69 51 58
299,81,0,59 68 54 56 56 75 69 51 58 60
300,65,0,68 54 56 56 75 69 51 58 60 81
301,70,0,54 56 56 75 69 51 58 60 81 65
302,64,0,56 56 75 69 51 58 60 81 65 70
303,53,0,56 75 69 51 58 60 81 65 70 64
304,65,0,75 69 51 58 60 81 65 70 64 53
305,65,0,69 51 58 60 81 65 70 64 53 65
306,66,0,51 58 60 81 65 70 64 53 65 65
307,48,0,58 60 81 65 70 64 53 65 65 66
308,46,0,60 81 65 70 64 53 65 65 66 48
309,50,0,81 65 70 64 53 65 65 66 48 46
310,43,0,65 70 64 53 65 65 66 48 46 50
311,45,0,70 64 53 65 65 66 48 46 50 43
312,49,0,64 53 65 65 66 48 46 50 43 45
313,49,0,53 65 65 66 48 46 50 43 45 49
314,50,0,65 65 66 48 46 50 43 45 49 49
315,57,0,65 66 48 46 50 43 45 49 49 50
316,39,0,66 48 46 50 43 45 49 49 50 57
317,35,0,48 46 50 43 45 49 49 50 57 39
318,63,0,46 50 43 45 49 49 50 57 39 35
319,62,0,50 43 45 49 49 50 57 39 35 63
320,66,0,43 45 49 49 50 57 39 35 63 62
321,52,0,45 49 49 50 57 39 35 63 62 66
322,48,0,49 49 50 57 39 35 63 62 66 52
323,66,0,49 50 57 39 35 63 62 66 52 48
324,58,0,50 57 39 35 63 62 66 52 48 66
325,41,0,57 39 35 63 62 66 52 48 66 58
326,36,0,39 35 63 62 66 52 48 66 58 41
327,40,0,35 63 62 66 52 48 66 58 41 36
328,72,0,63 62 66 52 48 66 58 41 36 40
329,72,0,62 66 52 48 66 58 41 36 40 72
330,64,0,66 52 48 66 58 41 36 40 72 72
331,73,0,52 48 66 58 41 36 40 72 72 64
332,69,0,48 66 58 41 36 40 72 72 64 73
333,78,0,66 58 41 36 40 72 72 64 73 69
334,58,0,58 41 36 40 72 72 64 73 69 78
335,77,0,41 36 40 72 72 64 73 69 78 58
336,133,0,36 40 72 72 64 73 69 78 58 77
337,88,0,40 72 72 64 73 69 78 58 77 133
338,87,0,72 72 64 73 69 78 58 77 133 88
339,88,0,72 64 73 69 78 58 77 133 88 87
340,78,0,64 73 69 78 58 77 133 88 87 88
341,80,0,73 69 78 58 77 133 88 87 88 78
342,72,0,69 78 58 77 133 88 87 88 78 80
343,89,0,78 58 77 133 88 87 88 78 80 72
344,62,0,58 77 133 88 87 88 78 80 72 89
345,91,0,77 133 88 87 88 78 80 72 89 62
346,100,0,133 88 87 88 78 80 72 89 62 91
347,60,0,88 87 88 78 80 72 89 62 91 100
348,54,0,87 88 78 80 72 89 62 91 100 60
349,83,0,88 78 80 72 89 62 91 100 60 54
350,45,0,78 80 72 89 62 91 100 60 54 83
351,58,0,80 72 89 62 91 100 60 54 83 45
352,70,0,72 89 62 91 100 60 54 83 45 58
353,60,0,89 62 91 100 60 54 83 45 58 70
354,41,0,62 91 100 60 54 83 45 58 70 60
355,60,0,91 100 60 54 83 45 58 70 60 41
356,57,0,100 60 54 83 45 58 70 60 41 60
357,61,0,60 54 83 45 58 70 60 41 60 57
358,66,0,54 83 45 58 70 60 41 60 57 61
359,59,0,83 45 58 70 60 41 60 57 61 66
360,64,0,45 58 70 60 41 60 57 61 66 59
361,80,0,58 70 60 41 60 57 61 66 59 64
362,92,0,70 60 41 60 57 61 66 59 64 80
363,95,0,60 41 60 57 61 66 59 64 80 92
364,101,0,41 60 57 61 66 59 64 80 92 95
365,99,0,60 57 61 66 59 64 80 92 95 101
366,68,0,57 61 66 59 64 80 92 95 101 99
367,64,0,61 66 59 64 80 92 95 101 99 68
368,90,0,66 59 64 80 92 95 101 99 68 64
369,74,0,59 64 80 92 95 101 99 68 64 90
370,48,0,64 80 92 95 101 99 68 64 90 74
371,48,0,80 92 95 101 99 68 64 90 74 48
372,63,0,92 95 101 99 68 64 90 74 48 48
373,47,0,95 101 99 68 64 90 74 48 48 63
374,43,0,101 99 68 64 90 74 48 48 63 47
375,51,0,99 68 64 90 74 48 48 63 47 43
376,63,0,68 64 90 74 48 48 63 47 43 51
377,71,0,64 90 74 48 48 63 47 43 51 63
378,84,0,90 74 48 48 63 47 43 51 63 71
379,34,0,74 48 48 63 47 43 51 63 71 84
380,41,0,48 48 63 47 43 51 63 71 84 34
381,51,0,48 63 47 43 51 63 71 84 34 41
382,44,0,63 47 43 51 63 71 84 34 41 51
383,58,0,47 43 51 63 71 84 34 41 51 44
384,68,0,43 51 63 71 84 34 41 51 44 58
385,57,0,51 63 71 84 34 41 51 44 58 68
386,55,0,63 71 84 34 41 51 44 58 68 57
387,65,0,71 84 34 41 51 44 58 68 57 55
388,51,0,84 34 41 51 44 58 68 57 55 65
389,49,0,34 41 51 44 58 68 57 55 65 51
390,59,0,41 51 44 58 68 57 55 65 51 49
391,44,0,51 44 58 68 57 55 65 51 49 59
392,58,0,44 58 68 57 55 65 51 49 59 44
393,45,0,58 68 57 55 65 51 49 59 44 58
394,52,0,68 57 55 65 51 49 59 44 58 45
395,50,0,57 55 65 51 49 59 44 58 45 52
396,63,0,55 65 51 49 59 44 58 45 52 50
397,45,0,65 51 49 59 44 58 45 52 50 63
398,54,0,51 49 59 44 58 45 52 50 63 45
399,68,0,49 59 44 58 45 52 50 63 45 54
400,45,0,59 44 58 45 52 50 63 45 54 68
401,40,0,44 58 45 52 50 63 45 54 68 45
402,54,0,58 45 52 50 63 45 54 68 45 40
403,33,0,45 52 50 63 45 54 68 45 40 54
404,38,0,52 50 63 45 54 68 45 40 54 33
405,33,0,50 63 45 54 68 45 40 54 33 38
406,52,0,63 45 54 68 45 40 54 33 38 33
407,36,0,45 54 68 45 40 54 33 38 33 52
408,36,0,54 68 45 40 54 33 38 33 52 36
409,35,0,68 45 40 54 33 38 33 52 36 36
410,30,0,45 40 54 33 38 33 52 36 36 35
411,25,0,40 54 33 38 33 52 36 36 35 30
412,24,0,54 33 38 33 52 36 36 35 30 25
413,27,0,33 38 33 52 36 36 35 30 25 24
414,21,0,38 33 52 36 36 35 30 25 24 27
415,45,0,33 52 36 36 35 30 25 24 27 21
416,27,0,52 36 36 35 30 25 24 27 21 45
417,31,0,36 36 35 30 25 24 27 21 45 27
418,35,0,36 35 30 25 24 27 21 45 27 31
419,58,0,35 30 25 24 27 21 45 27 31 35
420,60,0,30 25 24 27 21 45 27 31 35 58
421,37,0,25 24 27 21 45 27 31 35 58 60
422,30,0,24 27 21 45 27 31 35 58 60 37
423,36,0,27 21 45 27 31 35 58 60 37 30
424,39,0,21 45 27 31 35 58 60 37 30 36
425,26,0,45 27 31 35 58 60 37 30 36 39
426,38,0,27 31 35 58 60 37 30 36 39 26
427,31,0,31 35 58 60 37 30 36 39 26 38
428,58,0,35 58 60 37 30 36 39 26 38 31
429,56,0,58 60 37 30 36 39 26 38 31 58
430,64,0,60 37 30 36 39 26 38 31 58 56
431,44,0,37 30 36 39 26 38 31 58 56 64
432,58,0,30 36 39 26 38 31 58 56 64 44
433,63,0,36 39 26 38 31 58 56 64 44 58
434,58,0,39 26 38 31 58 56 64 44 58 63
435,47,0,26 38 31 58 56 64 44 58 63 58
436,47,0,38 31 58 56 64 44 58 63 58 47
437,47,0,31 58 56 64 44 58 63 58 47 47
438,36,0,58 56 64 44 58 63 58 47 47 47
439,31,0,56 64 44 58 63 58 47 47 47 36
440,30,0,64 44 58 63 58 47 47 47 36 31
441,21,0,44 58 63 58 47 47 47 36 31 30
442,23,0,58 63 58 47 47 47 36 31 30 21
443,43,0,63 58 47 47 47 36 31 30 21 23
444,43,0,58 47 47 47 36 31 30 21 23 43
445,53,0,47 47 47 36 31 30 21 23 43 43
446,54,0,47 47 36 31 30 21 23 43 43 53
447,45,0,47 36 31 30 21 23 43 43 53 54
448,37,0,36 31 30 21 23 43 43 53 54 45
449,35,0,31 30 21 23 43 43 53 54 45 37
450,43,0,30 21 23 43 43 53 54 45 37 35
451,43,0,21 23 43 43 53 54 45 37 35 43
452,43,0,23 43 43 53 54 45 37 35 43 43
453,40,0,43 43 53 54 45 37 35 43 43 43
454,28,0,43 53 54 45 37 35 43 43 43 40
455,25,0,53 54 45 37 35 43 43 43 40 28
456,31,0,54 45 37 35 43 43 43 40 28 25
457,23,0,45 37 35 43 43 43 40 28 25 31
458,31,0,37 35 43 43 43 40 28 25 31 23
459,31,0,35 43 43 43 40 28 25 31 23 31
460,36,0,43 43 43 40 28 25 31 23 31 31
461,46,0,43 43 40 28 25 31 23 31 31 36
462,47,0,43 40 28 25 31 23 31 31 36 46
463,32,0,40 28 25 31 23 31 31 36 46 47
464,39,0,28 25 31 23 31 31 36 46 47 32
465,42,0,25 31 23 31 31 36 46 47 32 39
466,46,0,31 23 31 31 36 46 47 32 39 42
467,40,0,23 31 31 36 46 47 32 39 42 46
468,60,0,31 31 36 46 47 32 39 42 46 40
469,70,0,31 36 46 47 32 39 42 46 40 60
470,71,0,36 46 47 32 39 42 46 40 60 70
471,69,0,46 47 32 39 42 46 40 60 70 71
472,56,0,47 32 39 42 46 40 60 70 71 69
473,70,0,32 39 42 46 40 60 70 71 69 56
474,88,0,39 42 46 40 60 70 71 69 56 70
475,50,0,42 46 40 60 70 71 69 56 70 88
476,53,0,46 40 60 70 71 69 56 70 88 50
477,43,0,40 60 70 71 69 56 70 88 50 53
478,53,0,60 70 71 69 56 70 88 50 53 43
479,43,0,70 71 69 56 70 88 50 53 43 53
480,59,0,71 69 56 70 88 50 53 43 53 43
481,50,0,69 56 70 88 50 53 43 53 43 59
482,41,0,56 70 88 50 53 43 53 43 59 50
483,40,0,70 88 50 53 43 53 43 59 50 41
484,43,0,88 50 53 43 53 43 59 50 41 40
485,76,0,50 53 43 53 43 59 50 41 40 43
486,62,0,53 43 53 43 59 50 41 40 43 76
487,61,0,43 53 43 59 50 41 40 43 76 62
488,44,0,53 43 59 50 41 40 43 76 62 61
489,49,0,43 59 50 41 40 43 76 62 61 44
490,68,0,59 50 41 40 43 76 62 61 44 49
491,49,0,50 41 40 43 76 62 61 44 49 68
492,79,0,41 40 43 76 62 61 44 49 68 49
493,71,0,40 43 76 62 61 44 49 68 49 79
494,52,0,43 76 62 61 44 49 68 49 79 71
495,47,0,76 62 61 44 49 68 49 79 71 52
496,41,0,62 61 44 49 68 49 79 71 52 47
497,62,0,61 44 49 68 49 79 71 52 47 41
498,63,0,44 49 68 49 79 71 52 47 41 62
499,85,0,49 68 49 79 71 52 47 41 62 63
500,103,0,68 49 79 71 52 47 41 62 63 85
501,70,0,49 79 71 52 47 41 62 63 85 103
502,69,0,79 71 52 47 41 62 63 85 103 70
503,85,0,71 52 47 41 62 63 85 103 70 69
504,66,0,52 47 41 62 63 85 103 70 69 85
505,75,0,47 41 62 63 85 103 70 69 85 66
506,84,0,41 62 63 85 103 70 69 85 66 75
507,92,0,62 63 85 103 70 69 85 66 75 84
508,70,0,63 85 103 70 69 85 66 75 84 92
509,62,0,85 103 70 69 85 66 75 84 92 70
510,66,0,103 70 69 85 66 75 84 92 70 62
511,53,0,70 69 85 66 75 84 92 70 62 66
512,60,0,69 85 66 75 84 92 70 62 66 53
513,66,0,85 66 75 84 92 70 62 66 53 60
514,57,0,66 75 84 92 70 62 66 53 60 66
515,51,0,75 84 92 70 62 66 53 60 66 57
516,50,0,84 92 70 62 66 53 60 66 57 51
517,55,0,92 70 62 66 53 60 66 57 51 50
518,54,0,70 62 66 53 60 66 57 51 50 55
519,76,0,62 66 53 60 66 57 51 50 55 54
520,69,0,66 53 60 66 57 51 50 55 54 76
521,61,0,53 60 66 57 51 50 55 54 76 69
522,73,0,60 66 57 51 50 55 54 76 69 61
523,72,0,66 57 51 50 55 54 76 69 61 73
524,56,0,57 51 50 55 54 76 69 61 73 72
525,68,0,51 50 55 54 76 69 61 73 72 56
526,58,0,50 55 54 76 69 61 73 72 56 68
527,96,0,55 54 76 69 61 73 72 56 68 58
528,64,0,54 76 69 61 73 72 56 68 58 96
529,67,0,76 69 61 73 72 56 68 58 96 64
530,54,0,69 61 73 72 56 68 58 96 64 67
531,76,0,61 73 72 56 68 58 96 64 67 54
532,58,0,73 72 56 68 58 96 64 67 54 76
533,50,0,72 56 68 58 96 64 67 54 76 58
534,53,0,56 68 58 96 64 67 54 76 58 50
535,59,0,68 58 96 64 67 54 76 58 50 53
536,64,0,58 96 64 67 54 76 58 50 53 59
