value,split,value_feature
31,0,41 34 42 58 59 27 49 52 25 36
23,0,34 42 58 59 27 49 52 25 36 31
24,0,42 58 59 27 49 52 25 36 31 23
10,0,58 59 27 49 52 25 36 31 23 24
27,0,59 27 49 52 25 36 31 23 24 10
32,0,27 49 52 25 36 31 23 24 10 27
17,0,49 52 25 36 31 23 24 10 27 32
33,0,52 25 36 31 23 24 10 27 32 17
40,0,25 36 31 23 24 10 27 32 17 33
25,0,36 31 23 24 10 27 32 17 33 40
16,0,31 23 24 10 27 32 17 33 40 25
24,0,23 24 10 27 32 17 33 40 25 16
37,0,24 10 27 32 17 33 40 25 16 24
34,0,10 27 32 17 33 40 25 16 24 37
60,0,27 32 17 33 40 25 16 24 37 34
57,0,32 17 33 40 25 16 24 37 34 60
62,0,17 33 40 25 16 24 37 34 60 57
56,0,33 40 25 16 24 37 34 60 57 62
68,0,40 25 16 24 37 34 60 57 62 56
54,0,25 16 24 37 34 60 57 62 56 68
49,0,16 24 37 34 60 57 62 56 68 54
42,0,24 37 34 60 57 62 56 68 54 49
39,0,37 34 60 57 62 56 68 54 49 42
50,0,34 60 57 62 56 68 54 49 42 39
47,0,60 57 62 56 68 54 49 42 39 50
30,0,57 62 56 68 54 49 42 39 50 47
40,0,62 56 68 54 49 42 39 50 47 30
45,0,56 68 54 49 42 39 50 47 30 40
37,0,68 54 49 42 39 50 47 30 40 45
58,0,54 49 42 39 50 47 30 40 45 37
35,0,49 42 39 50 47 30 40 45 37 58
46,0,42 39 50 47 30 40 45 37 58 35
37,0,39 50 47 30 40 45 37 58 35 46
35,0,50 47 30 40 45 37 58 35 46 37
50,0,47 30 40 45 37 58 35 46 37 35
27,0,30 40 45 37 58 35 46 37 35 50
54,0,40 45 37 58 35 46 37 35 50 27
51,0,45 37 58 35 46 37 35 50 27 54
41,0,37 58 35 46 37 35 50 27 54 51
50,0,58 35 46 37 35 50 27 54 51 41
90,0,35 46 37 35 50 27 54 51 41 50
55,0,46 37 35 50 27 54 51 41 50 90
57,0,37 35 50 27 54 51 41 50 90 55
57,0,35 50 27 54 51 41 50 90 55 57
71,0,50 27 54 51 41 50 90 55 57 57
35,0,27 54 51 41 50 90 55 57 57 71
28,0,54 51 41 50 90 55 57 57 71 35
32,0,51 41 50 90 55 57 57 71 35 28
32,0,41 50 90 55 57 57 71 35 28 32
60,0,50 90 55 57 57 71 35 28 32 32
32,0,90 55 57 57 71 35 28 32 32 60
47,0,55 57 57 71 35 28 32 32 60 32
38,0,57 57 71 35 28 32 32 60 32 47
46,0,57 71 35 28 32 32 60 32 47 38
54,0,71 35 28 32 32 60 32 47 38 46
56,0,35 28 32 32 60 32 47 38 46 54
63,0,28 32 32 60 32 47 38 46 54 56
67,0,32 32 60 32 47 38 46 54 56 63
68,0,32 60 32 47 38 46 54 56 63 67
61,0,60 32 47 38 46 54 56 63 67 68
44,0,32 47 38 46 54 56 63 67 68 61
57,0,47 38 46 54 56 63 67 68 61 44
61,0,38 46 54 56 63 67 68 61 44 57
55,0,46 54 56 63 67 68 61 44 57 61
66,0,54 56 63 67 68 61 44 57 61 55
87,0,56 63 67 68 61 44 57 61 55 66
68,0,63 67 68 61 44 57 61 55 66 87
73,0,67 68 61 44 57 61 55 66 87 68
66,0,68 61 44 57 61 55 66 87 68 73
73,0,61 44 57 61 55 66 87 68 73 66
100,0,44 57 61 55 66 87 68 73 66 73
105,0,57 61 55 66 87 68 73 66 73 100
90,0,61 55 66 87 68 73 66 73 100 105
66,0,55 66 87 68 73 66 73 100 105 90
64,0,66 87 68 73 66 73 100 105 90 66
58,0,87 68 73 66 73 100 105 90 66 64
70,0,68 73 66 73 100 105 90 66 64 58
74,0,73 66 73 100 105 90 66 64 58 70
48,0,66 73 100 105 90 66 64 58 70 74
59,0,73 100 105 90 66 64 58 70 74 48
69,0,100 105 90 66 64 58 70 74 48 59
67,0,105 90 66 64 58 70 74 48 59 69
40,0,90 66 64 58 70 74 48 59 69 67
47,0,66 64 58 70 74 48 59 69 67 40
42,0,64 58 70 74 48 59 69 67 40 47
153,0,58 70 74 48 59 69 67 40 47 42
67,0,70 74 48 59 69 67 40 47 42 153
73,0,74 48 59 69 67 40 47 42 153 67
58,0,48 59 69 67 40 47 42 153 67 73
97,0,59 69 67 40 47 42 153 67 73 58
99,0,69 67 40 47 42 153 67 73 58 97
65,0,67 40 47 42 153 67 73 58 97 99
82,0,40 47 42 153 67 73 58 97 99 65
66,0,47 42 153 67 73 58 97 99 65 82
44,0,42 153 67 73 58 97 99 65 82 66
65,0,153 67 73 58 97 99 65 82 66 44
75,0,67 73 58 97 99 65 82 66 44 65
50,0,73 58 97 99 65 82 66 44 65 75
62,0,58 97 99 65 82 66 44 65 75 50
57,0,97 99 65 82 66 44 65 75 50 62
102,0,99 65 82 66 44 65 75 50 62 57
80,0,65 82 66 44 65 75 50 62 57 102
84,0,82 66 44 65 75 50 62 57 102 80
104,0,66 44 65 75 50 62 57 102 80 84
76,0,44 65 75 50 62 57 102 80 84 104
71,0,65 75 50 62 57 102 80 84 104 76
49,0,75 50 62 57 102 80 84 104 76 71
103,0,50 62 57 102 80 84 104 76 71 49
134,0,62 57 102 80 84 104 76 71 49 103
106,0,57 102 80 84 104 76 71 49 103 134
127,0,102 80 84 104 76 71 49 103 134 106
93,0,80 84 104 76 71 49 103 134 106 127
84,0,84 104 76 71 49 103 134 106 127 93
56,0,104 76 71 49 103 134 106 127 93 84
61,0,76 71 49 103 134 106 127 93 84 56
57,0,71 49 103 134 106 127 93 84 56 61
45,0,49 103 134 106 127 93 84 56 61 57
54,0,103 134 106 127 93 84 56 61 57 45
64,0,134 106 127 93 84 56 61 57 45 54
74,0,106 127 93 84 56 61 57 45 54 64
56,0,127 93 84 56 61 57 45 54 64 74
73,0,93 84 56 61 57 45 54 64 74 56
84,0,84 56 61 57 45 54 64 74 56 73
57,0,56 61 57 45 54 64 74 56 73 84
63,0,61 57 45 54 64 74 56 73 84 57
70,0,57 45 54 64 74 56 73 84 57 63
74,0,45 54 64 74 56 73 84 57 63 70
57,0,54 64 74 56 73 84 57 63 70 74
62,0,64 74 56 73 84 57 63 70 74 57
69,0,74 56 73 84 57 63 70 74 57 62
61,0,56 73 84 57 63 70 74 57 62 69
66,0,73 84 57 63 70 74 57 62 69 61
65,0,84 57 63 70 74 57 62 69 61 66
55,0,57 63 70 74 57 62 69 61 66 65
54,0,63 70 74 57 62 69 61 66 65 55
55,0,70 74 57 62 69 61 66 65 55 54
53,0,74 57 62 69 61 66 65 55 54 55
67,0,57 62 69 61 66 65 55 54 55 53
70,0,62 69 61 66 65 55 54 55 53 67
76,0,69 61 66 65 55 54 55 53 67 70
67,0,61 66 65 55 54 55 53 67 70 76
110,0,66 65 55 54 55 53 67 70 76 67
41,0,65 55 54 55 53 67 70 76 67 110
64,0,55 54 55 53 67 70 76 67 110 41
61,0,54 55 53 67 70 76 67 110 41 64
39,0,55 53 67 70 76 67 110 41 64 61
61,0,53 67 70 76 67 110 41 64 61 39
73,0,67 70 76 67 110 41 64 61 39 61
62,0,70 76 67 110 41 64 61 39 61 73
67,0,76 67 110 41 64 61 39 61 73 62
51,0,67 110 41 64 61 39 61 73 62 67
81,0,110 41 64 61 39 61 73 62 67 51
87,0,41 64 61 39 61 73 62 67 51 81
52,0,64 61 39 61 73 62 67 51 81 87
62,0,61 39 61 73 62 67 51 81 87 52
108,0,39 61 73 62 67 51 81 87 52 62
76,0,61 73 62 67 51 81 87 52 62 108
57,0,73 62 67 51 81 87 52 62 108 76
68,0,62 67 51 81 87 52 62 108 76 57
59,0,67 51 81 87 52 62 108 76 57 68
68,0,51 81 87 52 62 108 76 57 68 59
54,0,81 87 52 62 108 76 57 68 59 68
56,0,87 52 62 108 76 57 68 59 68 54
56,0,52 62 108 76 57 68 59 68 54 56
75,0,62 108 76 57 68 59 68 54 56 56
69,0,108 76 57 68 59 68 54 56 56 75
51,0,76 57 68 59 68 54 56 56 75 69
58,0,57 68 59 68 54 56 56 75 69 51
60,0,68 59 68 54 56 56 75 69 51 58
81,0,59 68 54 56 56 75 69 51 58 60
65,0,68 54 56 56 75 69 51 58 60 81
70,0,54 56 56 75 69 51 58 60 81 65
64,0,56 56 75 69 51 58 60 81 65 70
53,0,56 75 69 51 58 60 81 65 70 64
65,0,75 69 51 58 60 81 65 70 64 53
65,0,69 51 58 60 81 65 70 64 53 65
66,0,51 58 60 81 65 70 64 53 65 65
48,0,58 60 81 65 70 64 53 65 65 66
46,0,60 81 65 70 64 53 65 65 66 48
50,0,81 65 70 64 53 65 65 66 48 46
43,0,65 70 64 53 65 65 66 48 46 50
45,0,70 64 53 65 65 66 48 46 50 43
49,0,64 53 65 65 66 48 46 50 43 45
49,0,53 65 65 66 48 46 50 43 45 49
50,0,65 65 66 48 46 50 43 45 49 49
57,0,65 66 48 46 50 43 45 49 49 50
39,0,66 48 46 50 43 45 49 49 50 57
35,0,48 46 50 43 45 49 49 50 57 39
63,0,46 50 43 45 49 49 50 57 39 35
62,0,50 43 45 49 49 50 57 39 35 63
66,0,43 45 49 49 50 57 39 35 63 62
52,0,45 49 49 50 57 39 35 63 62 66
48,0,49 49 50 57 39 35 63 62 66 52
66,0,49 50 57 39 35 63 62 66 52 48
58,0,50 57 39 35 63 62 66 52 48 66
41,0,57 39 35 63 62 66 52 48 66 58
36,0,39 35 63 62 66 52 48 66 58 41
40,0,35 63 62 66 52 48 66 58 41 36
72,0,63 62 66 52 48 66 58 41 36 40
72,0,62 66 52 48 66 58 41 36 40 72
64,0,66 52 48 66 58 41 36 40 72 72
73,0,52 48 66 58 41 36 40 72 72 64
69,0,48 66 58 41 36 40 72 72 64 73
78,0,66 58 41 36 40 72 72 64 73 69
58,0,58 41 36 40 72 72 64 73 69 78
77,0,41 36 40 72 72 64 73 69 78 58
133,0,36 40 72 72 64 73 69 78 58 77
88,0,40 72 72 64 73 69 78 58 77 133
87,0,72 72 64 73 69 78 58 77 133 88
88,0,72 64 73 69 78 58 77 133 88 87
78,0,64 73 69 78 58 77 133 88 87 88
80,0,73 69 78 58 77 133 88 87 88 78
72,0,69 78 58 77 133 88 87 88 78 80
89,0,78 58 77 133 88 87 88 78 80 72
62,0,58 77 133 88 87 88 78 80 72 89
91,0,77 133 88 87 88 78 80 72 89 62
100,0,133 88 87 88 78 80 72 89 62 91
60,0,88 87 88 78 80 72 89 62 91 100
54,0,87 88 78 80 72 89 62 91 100 60
83,0,88 78 80 72 89 62 91 100 60 54
45,0,78 80 72 89 62 91 100 60 54 83
58,0,80 72 89 62 91 100 60 54 83 45
70,0,72 89 62 91 100 60 54 83 45 58
60,0,89 62 91 100 60 54 83 45 58 70
41,0,62 91 100 60 54 83 45 58 70 60
60,0,91 100 60 54 83 45 58 70 60 41
57,0,100 60 54 83 45 58 70 60 41 60
61,0,60 54 83 45 58 70 60 41 60 57
66,0,54 83 45 58 70 60 41 60 57 61
59,0,83 45 58 70 60 41 60 57 61 66
64,0,45 58 70 60 41 60 57 61 66 59
80,0,58 70 60 41 60 57 61 66 59 64
92,0,70 60 41 60 57 61 66 59 64 80
95,0,60 41 60 57 61 66 59 64 80 92
101,0,41 60 57 61 66 59 64 80 92 95
99,0,60 57 61 66 59 64 80 92 95 101
68,0,57 61 66 59 64 80 92 95 101 99
64,0,61 66 59 64 80 92 95 101 99 68
90,0,66 59 64 80 92 95 101 99 68 64
74,0,59 64 80 92 95 101 99 68 64 90
48,0,64 80 92 95 101 99 68 64 90 74
48,0,80 92 95 101 99 68 64 90 74 48
63,0,92 95 101 99 68 64 90 74 48 48
47,0,95 101 99 68 64 90 74 48 48 63
43,0,101 99 68 64 90 74 48 48 63 47
51,0,99 68 64 90 74 48 48 63 47 43
63,0,68 64 90 74 48 48 63 47 43 51
71,0,64 90 74 48 48 63 47 43 51 63
84,0,90 74 48 48 63 47 43 51 63 71
34,0,74 48 48 63 47 43 51 63 71 84
41,0,48 48 63 47 43 51 63 71 84 34
51,0,48 63 47 43 51 63 71 84 34 41
44,0,63 47 43 51 63 71 84 34 41 51
58,0,47 43 51 63 71 84 34 41 51 44
68,0,43 51 63 71 84 34 41 51 44 58
57,0,51 63 71 84 34 41 51 44 58 68
55,0,63 71 84 34 41 51 44 58 68 57
65,0,71 84 34 41 51 44 58 68 57 55
51,0,84 34 41 51 44 58 68 57 55 65
49,0,34 41 51 44 58 68 57 55 65 51
59,0,41 51 44 58 68 57 55 65 51 49
44,0,51 44 58 68 57 55 65 51 49 59
58,0,44 58 68 57 55 65 51 49 59 44
45,0,58 68 57 55 65 51 49 59 44 58
52,0,68 57 55 65 51 49 59 44 58 45
50,0,57 55 65 51 49 59 44 58 45 52
63,0,55 65 51 49 59 44 58 45 52 50
45,0,65 51 49 59 44 58 45 52 50 63
54,0,51 49 59 44 58 45 52 50 63 45
68,0,49 59 44 58 45 52 50 63 45 54
45,0,59 44 58 45 52 50 63 45 54 68
40,0,44 58 45 52 50 63 45 54 68 45
54,0,58 45 52 50 63 45 54 68 45 40
33,0,45 52 50 63 45 54 68 45 40 54
38,0,52 50 63 45 54 68 45 40 54 33
33,0,50 63 45 54 68 45 40 54 33 38
52,0,63 45 54 68 45 40 54 33 38 33
36,0,45 54 68 45 40 54 33 38 33 52
36,0,54 68 45 40 54 33 38 33 52 36
35,0,68 45 40 54 33 38 33 52 36 36
30,0,45 40 54 33 38 33 52 36 36 35
25,0,40 54 33 38 33 52 36 36 35 30
24,0,54 33 38 33 52 36 36 35 30 25
27,0,33 38 33 52 36 36 35 30 25 24
21,0,38 33 52 36 36 35 30 25 24 27
45,0,33 52 36 36 35 30 25 24 27 21
27,0,52 36 36 35 30 25 24 27 21 45
31,0,36 36 35 30 25 24 27 21 45 27
35,0,36 35 30 25 24 27 21 45 27 31
58,0,35 30 25 24 27 21 45 27 31 35
60,0,30 25 24 27 21 45 27 31 35 58
37,0,25 24 27 21 45 27 31 35 58 60
30,0,24 27 21 45 27 31 35 58 60 37
36,0,27 21 45 27 31 35 58 60 37 30
39,0,21 45 27 31 35 58 60 37 30 36
26,0,45 27 31 35 58 60 37 30 36 39
38,0,27 31 35 58 60 37 30 36 39 26
31,0,31 35 58 60 37 30 36 39 26 38
58,0,35 58 60 37 30 36 39 26 38 31
56,0,58 60 37 30 36 39 26 38 31 58
64,0,60 37 30 36 39 26 38 31 58 56
44,0,37 30 36 39 26 38 31 58 56 64
58,0,30 36 39 26 38 31 58 56 64 44
63,0,36 39 26 38 31 58 56 64 44 58
58,0,39 26 38 31 58 56 64 44 58 63
47,0,26 38 31 58 56 64 44 58 63 58
47,0,38 31 58 56 64 44 58 63 58 47
47,0,31 58 56 64 44 58 63 58 47 47
36,0,58 56 64 44 58 63 58 47 47 47
31,0,56 64 44 58 63 58 47 47 47 36
30,0,64 44 58 63 58 47 47 47 36 31
21,0,44 58 63 58 47 47 47 36 31 30
23,0,58 63 58 47 47 47 36 31 30 21
43,0,63 58 47 47 47 36 31 30 21 23
43,0,58 47 47 47 36 31 30 21 23 43
53,0,47 47 47 36 31 30 21 23 43 43
54,0,47 47 36 31 30 21 23 43 43 53
45,0,47 36 31 30 21 23 43 43 53 54
37,0,36 31 30 21 23 43 43 53 54 45
35,0,31 30 21 23 43 43 53 54 45 37
43,0,30 21 23 43 43 53 54 45 37 35
43,0,21 23 43 43 53 54 45 37 35 43
43,0,23 43 43 53 54 45 37 35 43 43
40,0,43 43 53 54 45 37 35 43 43 43
28,0,43 53 54 45 37 35 43 43 43 40
25,0,53 54 45 37 35 43 43 43 40 28
31,0,54 45 37 35 43 43 43 40 28 25
23,0,45 37 35 43 43 43 40 28 25 31
31,0,37 35 43 43 43 40 28 25 31 23
31,0,35 43 43 43 40 28 25 31 23 31
36,0,43 43 43 40 28 25 31 23 31 31
46,0,43 43 40 28 25 31 23 31 31 36
47,0,43 40 28 25 31 23 31 31 36 46
32,0,40 28 25 31 23 31 31 36 46 47
39,0,28 25 31 23 31 31 36 46 47 32
42,0,25 31 23 31 31 36 46 47 32 39
46,0,31 23 31 31 36 46 47 32 39 42
40,0,23 31 31 36 46 47 32 39 42 46
60,0,31 31 36 46 47 32 39 42 46 40
70,0,31 36 46 47 32 39 42 46 40 60
71,0,36 46 47 32 39 42 46 40 60 70
69,0,46 47 32 39 42 46 40 60 70 71
56,0,47 32 39 42 46 40 60 70 71 69
70,0,32 39 42 46 40 60 70 71 69 56
88,0,39 42 46 40 60 70 71 69 56 70
50,0,42 46 40 60 70 71 69 56 70 88
53,0,46 40 60 70 71 69 56 70 88 50
43,0,40 60 70 71 69 56 70 88 50 53
53,0,60 70 71 69 56 70 88 50 53 43
43,0,70 71 69 56 70 88 50 53 43 53
59,0,71 69 56 70 88 50 53 43 53 43
50,0,69 56 70 88 50 53 43 53 43 59
41,0,56 70 88 50 53 43 53 43 59 50
40,0,70 88 50 53 43 53 43 59 50 41
43,0,88 50 53 43 53 43 59 50 41 40
76,0,50 53 43 53 43 59 50 41 40 43
62,0,53 43 53 43 59 50 41 40 43 76
61,0,43 53 43 59 50 41 40 43 76 62
44,0,53 43 59 50 41 40 43 76 62 61
49,0,43 59 50 41 40 43 76 62 61 44
68,0,59 50 41 40 43 76 62 61 44 49
49,0,50 41 40 43 76 62 61 44 49 68
79,0,41 40 43 76 62 61 44 49 68 49
71,0,40 43 76 62 61 44 49 68 49 79
52,0,43 76 62 61 44 49 68 49 79 71
47,0,76 62 61 44 49 68 49 79 71 52
41,0,62 61 44 49 68 49 79 71 52 47
62,0,61 44 49 68 49 79 71 52 47 41
63,0,44 49 68 49 79 71 52 47 41 62
85,0,49 68 49 79 71 52 47 41 62 63
103,0,68 49 79 71 52 47 41 62 63 85
70,0,49 79 71 52 47 41 62 63 85 103
69,0,79 71 52 47 41 62 63 85 103 70
85,0,71 52 47 41 62 63 85 103 70 69
66,0,52 47 41 62 63 85 103 70 69 85
75,0,47 41 62 63 85 103 70 69 85 66
84,0,41 62 63 85 103 70 69 85 66 75
92,0,62 63 85 103 70 69 85 66 75 84
70,0,63 85 103 70 69 85 66 75 84 92
62,0,85 103 70 69 85 66 75 84 92 70
66,0,103 70 69 85 66 75 84 92 70 62
53,0,70 69 85 66 75 84 92 70 62 66
60,0,69 85 66 75 84 92 70 62 66 53
66,0,85 66 75 84 92 70 62 66 53 60
57,0,66 75 84 92 70 62 66 53 60 66
51,0,75 84 92 70 62 66 53 60 66 57
50,0,84 92 70 62 66 53 60 66 57 51
55,0,92 70 62 66 53 60 66 57 51 50
54,0,70 62 66 53 60 66 57 51 50 55
76,0,62 66 53 60 66 57 51 50 55 54
69,0,66 53 60 66 57 51 50 55 54 76
61,0,53 60 66 57 51 50 55 54 76 69
73,0,60 66 57 51 50 55 54 76 69 61
72,0,66 57 51 50 55 54 76 69 61 73
56,0,57 51 50 55 54 76 69 61 73 72
68,0,51 50 55 54 76 69 61 73 72 56
58,0,50 55 54 76 69 61 73 72 56 68
96,0,55 54 76 69 61 73 72 56 68 58
64,0,54 76 69 61 73 72 56 68 58 96
67,0,76 69 61 73 72 56 68 58 96 64
54,0,69 61 73 72 56 68 58 96 64 67
76,0,61 73 72 56 68 58 96 64 67 54
58,0,73 72 56 68 58 96 64 67 54 76
50,0,72 56 68 58 96 64 67 54 76 58
53,0,56 68 58 96 64 67 54 76 58 50
59,0,68 58 96 64 67 54 76 58 50 53
64,0,58 96 64 67 54 76 58 50 53 59
59,0,96 64 67 54 76 58 50 53 59 64
38,0,64 67 54 76 58 50 53 59 64 59
41,0,67 54 76 58 50 53 59 64 59 38
56,0,54 76 58 50 53 59 64 59 38 41
60,0,76 58 50 53 59 64 59 38 41 56
65,0,58 50 53 59 64 59 38 41 56 60
67,0,50 53 59 64 59 38 41 56 60 65
52,0,53 59 64 59 38 41 56 60 65 67
68,0,59 64 59 38 41 56 60 65 67 52
72,0,64 59 38 41 56 60 65 67 52 68
48,0,59 38 41 56 60 65 67 52 68 72
53,0,38 41 56 60 65 67 52 68 72 48
47,0,41 56 60 65 67 52 68 72 48 53
43,0,56 60 65 67 52 68 72 48 53 47
70,0,60 65 67 52 68 72 48 53 47 43
50,0,65 67 52 68 72 48 53 47 43 70
62,0,67 52 68 72 48 53 47 43 70 50
70,0,52 68 72 48 53 47 43 70 50 62
62,0,68 72 48 53 47 43 70 50 62 70
70,0,72 48 53 47 43 70 50 62 70 62
47,0,48 53 47 43 70 50 62 70 62 70
53,0,53 47 43 70 50 62 70 62 70 47
42,0,47 43 70 50 62 70 62 70 47 53
46,0,43 70 50 62 70 62 70 47 53 42
39,0,70 50 62 70 62 70 47 53 42 46
36,0,50 62 70 62 70 47 53 42 46 39
29,0,62 70 62 70 47 53 42 46 39 36
56,0,70 62 70 47 53 42 46 39 36 29
52,0,62 70 47 53 42 46 39 36 29 56
36,0,70 47 53 42 46 39 36 29 56 52
38,0,47 53 42 46 39 36 29 56 52 36
42,0,53 42 46 39 36 29 56 52 36 38
43,0,42 46 39 36 29 56 52 36 38 42
50,0,46 39 36 29 56 52 36 38 42 43
41,0,39 36 29 56 52 36 38 42 43 50
41,0,36 29 56 52 36 38 42 43 50 41
45,0,29 56 52 36 38 42 43 50 41 41
29,0,56 52 36 38 42 43 50 41 41 45
38,0,52 36 38 42 43 50 41 41 45 29
37,0,36 38 42 43 50 41 41 45 29 38
37,0,38 42 43 50 41 41 45 29 38 37
29,0,42 43 50 41 41 45 29 38 37 37
37,0,43 50 41 41 45 29 38 37 37 29
41,0,50 41 41 45 29 38 37 37 29 37
53,0,41 41 45 29 38 37 37 29 37 41
